Threads,PlanTime(sec)
1,0.000140
2,0.000225
3,0.000290
4,0.000287
5,0.000340
6,0.000396
7,0.000408
8,0.000417
9,0.000720
10,0.000503
11,0.000562
12,0.001004
13,0.000620
14,0.001104
15,0.001093
16,0.000702
17,0.001265
18,0.001238
19,0.001269
20,0.001273
21,0.001259
22,0.000886
23,0.001569
24,0.001555
25,0.001591
26,0.001579
27,0.001587
28,0.001584
29,0.001589
30,0.001598
31,0.001626
32,0.001211
33,0.001901
34,0.001911
35,0.001903
36,0.001907
37,0.001921
38,0.001929
39,0.001922
40,0.001942
