Threads,PlanTime(sec)
1,795.423093
2,2096.459883
3,2206.555515
4,1610.320048
5,1988.590501
6,1773.543595
7,1531.330835
8,1352.754464
9,1508.996671
10,1524.446166
11,1492.741944
12,1402.178885
13,1429.334830
14,1402.965071
15,1329.702760
16,1207.723004
17,1470.152757
18,1358.683676
19,1334.848374
20,1297.295735
21,1278.841693
22,1279.144075
23,1312.780401
24,1302.041451
25,1260.624915
26,1299.277208
27,1270.925432
28,1515.127234
29,1193.237476
30,1357.873271
31,1249.328189
32,1200.306072
33,1388.511671
34,1454.568270
35,1360.599907
36,1574.822736
37,1340.057873
38,1449.982881
39,1404.712387
40,1268.856574
