Threads,PlanTime(sec)
1,184.079361
2,438.562164
3,457.871909
4,362.072411
5,383.634340
6,395.445398
7,360.034268
8,301.056762
9,342.302352
10,317.427297
11,307.301208
12,299.075209
13,293.068932
14,296.712222
15,272.023764
16,263.322553
17,322.567330
18,316.060728
19,285.872218
20,302.091928
21,364.120223
22,291.756735
23,315.473744
24,297.095794
25,354.362786
26,289.345922
27,319.999632
28,325.483048
29,273.148277
30,340.758178
31,332.827846
32,264.240958
33,318.658262
34,321.812408
35,324.275928
36,325.314087
37,298.921292
38,365.369513
39,361.737675
40,360.494286
