Threads,PlanTime(sec)
1,1371.603365
2,3209.711800
3,3695.651389
4,2605.069071
5,3091.888251
6,2978.403081
7,2788.525296
8,2260.837917
9,2561.075068
10,2504.328181
11,2533.005726
12,2459.914390
13,2397.439465
14,2324.344495
15,2309.161611
16,2103.637714
17,2362.875150
18,2330.033971
19,2325.620901
20,2293.755801
21,2276.909597
22,2343.055502
23,2292.078195
24,2280.260985
25,2263.507746
26,2297.763763
27,2261.730859
28,2443.217420
29,2212.642303
30,2351.805525
31,2178.521725
32,2059.914303
33,2362.481475
34,2387.976910
35,2252.899942
36,2364.695681
37,2240.777915
38,2328.228440
39,2352.023194
40,2196.135954
