Threads,PlanTime(sec)
1,351.735932
2,829.349402
3,945.409652
4,664.959867
5,731.658522
6,682.303262
7,611.467048
8,514.596681
9,560.800370
10,543.164454
11,524.449692
12,513.969994
13,501.773529
14,495.474079
15,477.014376
16,449.736980
17,514.220393
18,476.382016
19,471.063192
20,472.244942
21,516.890501
22,470.766195
23,507.072794
24,472.275121
25,505.027506
26,466.225910
27,502.537338
28,503.067292
29,461.569984
30,502.460792
31,497.734142
32,454.982356
33,509.269227
34,495.072488
35,505.740685
36,506.665926
37,477.053255
38,513.847363
39,516.220937
40,516.798334
