Threads,PlanTime(sec)
1,2.364683
2,6.318546
3,8.452923
4,6.673766
5,9.700916
6,9.815983
7,8.414083
8,6.740557
9,10.899329
10,9.850853
11,9.601522
12,11.569123
13,9.363141
14,12.820109
15,11.208311
16,6.997762
17,11.241517
18,11.048584
19,10.842074
20,11.367104
21,12.015937
22,9.885454
23,14.812866
24,15.131843
25,14.892422
26,14.650983
27,15.151840
28,15.897916
29,15.094955
30,15.359601
31,13.966285
32,8.547284
33,13.135043
34,13.326158
35,13.266583
36,13.430279
37,13.266592
38,14.064937
39,14.799343
40,16.041172
