Threads,PlanTime(sec)
1,0.001668
2,0.002232
3,0.002912
4,0.002433
5,0.003058
6,0.003212
7,0.003400
8,0.002705
9,0.003378
10,0.003583
11,0.003609
12,0.003674
13,0.003860
14,0.004069
15,0.003937
16,0.003504
17,0.005117
18,0.004391
19,0.004310
20,0.004816
21,0.006215
22,0.004712
23,0.006498
24,0.005191
25,0.006648
26,0.004950
27,0.007008
28,0.007012
29,0.005589
30,0.007594
31,0.007457
32,0.004905
33,0.007843
34,0.007706
35,0.007798
36,0.007791
37,0.006389
38,0.008531
39,0.008486
40,0.008554
