Threads,PlanTime(sec)
1,0.001678
2,0.002401
3,0.003113
4,0.002638
5,0.003310
6,0.004658
7,0.004636
8,0.003143
9,0.004062
10,0.004185
11,0.004227
12,0.004322
13,0.004420
14,0.004569
15,0.004482
16,0.004239
17,0.006278
18,0.006289
19,0.005180
20,0.006427
21,0.009144
22,0.006735
23,0.007878
24,0.006879
25,0.008609
26,0.007358
27,0.008746
28,0.010010
29,0.006339
30,0.010982
31,0.010635
32,0.006097
33,0.009708
34,0.009646
35,0.011048
36,0.011041
37,0.007384
38,0.012222
39,0.012432
40,0.012349
