Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,256³,292.9163,1.15
2,256³,148.3798,2.26
3,256³,143.6259,2.34
4,256³,75.8685,4.43
5,256³,61.0255,5.50
6,256³,62.5346,5.24
7,256³,44.3339,7.57
8,256³,39.5119,8.50
9,256³,35.6045,9.43
10,256³,35.3440,9.50
11,256³,31.0137,10.83
12,256³,30.1870,11.12
13,256³,28.0131,11.99
14,256³,27.1694,12.36
15,256³,24.7021,13.34
16,256³,25.5759,13.13
17,256³,23.8709,14.07
18,256³,23.9824,14.00
19,256³,22.7246,14.78
20,256³,23.5757,14.24
21,256³,22.6744,14.81
22,256³,21.8638,15.36
23,256³,21.2006,15.84
24,256³,22.2790,15.07
25,256³,21.2642,15.79
26,256³,21.2060,15.84
27,256³,21.0416,15.86
28,256³,21.5914,15.55
29,256³,20.3369,16.41
30,256³,20.8887,16.08
31,256³,24.2741,13.83
32,256³,22.7296,14.77
33,256³,21.9364,15.21
34,256³,20.9819,16.00
35,256³,21.9410,15.04
36,256³,22.8810,14.68
37,256³,17.3929,19.31
38,256³,17.2360,19.48
39,256³,23.2996,14.41
40,256³,23.1664,14.50
