Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,64³,1.2473,1.30
2,64³,0.6925,2.34
3,64³,0.6216,3.19
4,64³,0.3991,4.06
5,64³,0.3905,4.15
6,64³,0.4021,5.31
7,64³,0.3127,5.38
8,64³,0.2596,6.25
9,64³,0.2607,6.22
10,64³,0.2513,8.60
11,64³,0.2744,5.91
12,64³,0.2354,9.19
13,64³,0.2043,7.94
14,64³,0.2228,7.43
15,64³,0.2181,9.73
16,64³,0.1853,8.75
17,64³,0.1980,9.46
18,64³,0.1889,8.59
19,64³,0.1903,8.52
20,64³,0.2021,10.67
21,64³,0.2076,7.81
22,64³,0.1887,10.02
23,64³,0.1883,10.10
24,64³,0.1969,10.95
25,64³,0.1953,8.30
26,64³,0.1863,11.61
27,64³,0.1922,8.44
28,64³,0.1939,11.11
29,64³,0.1952,11.00
30,64³,0.1958,9.63
31,64³,0.1986,10.85
32,64³,0.2256,7.19
33,64³,0.2005,10.68
34,64³,0.2176,8.66
35,64³,0.2003,10.74
36,64³,0.2007,10.78
37,64³,0.2079,10.29
38,64³,0.2067,7.85
39,64³,0.2031,10.60
40,64³,0.2174,8.73
