Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,64³,1.9436,1.67
2,64³,1.0233,3.17
3,64³,0.8545,3.80
4,64³,0.5797,5.60
5,64³,0.6084,5.33
6,64³,0.4435,7.31
7,64³,0.4200,7.72
8,64³,0.3662,8.86
9,64³,0.3653,8.88
10,64³,0.3569,9.07
11,64³,0.3137,10.33
12,64³,0.3130,10.34
13,64³,0.2830,11.46
14,64³,0.2801,11.57
15,64³,0.2829,11.44
16,64³,0.2517,12.89
17,64³,0.2547,12.72
18,64³,0.2462,13.18
19,64³,0.2537,12.79
20,64³,0.2628,12.32
21,64³,0.2982,10.88
22,64³,0.2588,12.51
23,64³,0.2560,12.65
24,64³,0.2637,12.28
25,64³,0.2516,12.90
26,64³,0.2645,12.27
27,64³,0.2683,12.09
28,64³,0.2732,11.85
29,64³,0.2750,11.79
30,64³,0.2803,11.54
31,64³,0.2701,11.98
32,64³,0.9076,3.57
33,64³,0.3806,8.50
34,64³,0.2611,12.39
35,64³,0.4187,7.75
36,64³,0.4468,7.26
37,64³,0.2929,11.04
38,64³,0.3637,8.92
39,64³,0.2742,11.83
40,64³,0.2760,11.71
