Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,512³,3112.2355,0.95
2,512³,1581.9328,1.88
3,512³,1192.0342,2.48
4,512³,810.9232,3.67
5,512³,710.4627,4.18
6,512³,583.8082,5.09
7,512³,524.9172,5.66
8,512³,468.2282,6.34
9,512³,447.4092,6.63
10,512³,437.1613,6.90
11,512³,352.5206,8.51
12,512³,399.9164,7.42
13,512³,392.2468,7.57
14,512³,377.0173,8.00
15,512³,378.7562,7.84
16,512³,378.9484,7.83
17,512³,371.2912,8.00
18,512³,290.8212,10.31
19,512³,359.5818,8.25
20,512³,371.2147,8.00
21,512³,365.0310,8.14
22,512³,274.6041,10.91
23,512³,290.7938,10.30
24,512³,377.8092,7.86
25,512³,407.4484,7.29
26,512³,395.9964,7.49
27,512³,397.3651,7.48
28,512³,403.1565,7.37
29,512³,263.8527,11.37
30,512³,273.2158,10.98
31,512³,392.4675,7.56
32,512³,415.9525,7.14
33,512³,363.5272,8.17
34,512³,395.9466,7.50
35,512³,267.0706,11.23
36,512³,368.7900,8.06
37,512³,366.9728,8.09
38,512³,388.5936,7.64
39,512³,328.4187,9.05
40,512³,394.1769,7.54
