Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,32³,0.1509,1.44
2,32³,0.1104,1.97
3,32³,0.0874,2.28
4,32³,0.0787,2.76
5,32³,0.0932,2.33
6,32³,0.0676,4.01
7,32³,0.0582,4.65
8,32³,0.0503,4.32
9,32³,0.0529,5.01
10,32³,0.0536,4.57
11,32³,0.0475,5.62
12,32³,0.0436,6.23
13,32³,0.0488,4.98
14,32³,0.0448,6.06
15,32³,0.0440,6.13
16,32³,0.0401,5.42
17,32³,0.0458,5.31
18,32³,0.0467,5.78
19,32³,0.0465,5.78
20,32³,0.0414,5.24
21,32³,0.0502,5.32
22,32³,0.0543,4.52
23,32³,0.0503,5.34
24,32³,0.0546,4.45
25,32³,0.0524,4.60
26,32³,0.0498,4.35
27,32³,0.0538,5.01
28,32³,0.0695,3.52
29,32³,0.0531,4.09
30,32³,0.0565,4.75
31,32³,0.0559,4.85
32,32³,0.0391,6.94
33,32³,0.0522,4.16
34,32³,0.0520,6.19
35,32³,0.0551,5.91
36,32³,0.0584,4.58
37,32³,0.0544,4.99
38,32³,0.0556,4.81
39,32³,0.0604,4.42
40,32³,0.0548,5.94
