Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,128³,12.3471,1.30
2,128³,6.5150,2.47
3,128³,5.0275,3.89
4,128³,3.2170,5.00
5,128³,3.0266,5.32
6,128³,4.0804,5.16
7,128³,2.5340,8.30
8,128³,1.7687,9.10
9,128³,2.2719,9.01
10,128³,1.9665,10.82
11,128³,1.7253,9.33
12,128³,1.8126,11.74
13,128³,1.5673,10.27
14,128³,1.7593,11.77
15,128³,1.5833,13.39
16,128³,1.0009,16.08
17,128³,0.9661,16.65
18,128³,1.6991,12.11
19,128³,1.6557,12.81
20,128³,0.9036,17.81
21,128³,0.9311,19.87
22,128³,0.9335,22.55
23,128³,0.9080,18.54
24,128³,0.9022,18.73
25,128³,0.9230,17.43
26,128³,0.8721,19.20
27,128³,0.8583,19.44
28,128³,0.8221,20.36
29,128³,0.9760,21.53
30,128³,0.8348,19.46
31,128³,0.8368,19.31
32,128³,1.3762,11.69
33,128³,0.8596,24.42
34,128³,0.9819,21.63
35,128³,0.8766,24.10
36,128³,0.7718,20.85
37,128³,0.8328,19.33
38,128³,0.8054,19.98
39,128³,0.7836,21.96
40,128³,0.8918,23.86
