Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,512³,1772.8820,1.07
2,512³,890.7265,2.13
3,512³,719.7108,2.64
4,512³,446.5128,4.25
5,512³,455.1814,4.18
6,512³,402.8875,4.72
7,512³,379.7483,3.96
8,512³,244.9025,7.76
9,512³,230.7269,8.24
10,512³,295.9368,6.42
11,512³,262.1677,7.25
12,512³,209.4588,9.08
13,512³,249.9224,7.59
14,512³,250.9449,7.56
15,512³,257.4733,7.38
16,512³,191.6889,9.92
17,512³,236.3254,8.04
18,512³,173.7116,10.94
19,512³,179.1074,10.61
20,512³,179.5349,10.59
21,512³,173.9569,10.93
22,512³,171.3722,11.09
23,512³,169.3623,11.21
24,512³,169.7626,11.20
25,512³,165.5649,11.48
26,512³,166.3045,11.43
27,512³,169.6914,11.20
28,512³,166.6531,11.39
29,512³,177.0316,10.74
30,512³,169.8490,11.19
31,512³,191.4344,9.93
32,512³,165.9731,11.45
33,512³,172.9842,10.99
34,512³,182.9017,10.39
35,512³,171.8539,11.06
36,512³,186.1721,10.19
37,512³,188.7852,10.07
38,512³,181.0781,10.50
39,512³,165.8404,11.46
40,512³,162.4132,11.99
