16,0.017056,0.017338,0.017665
17,0.083587,0.085555,0.088846
18,0.030246,0.031190,0.034028
19,0.045938,0.053283,0.057629
20,0.019347,0.020363,0.022478
21,0.030359,0.032148,0.036226
22,0.030652,0.034033,0.049189
23,0.057262,0.067278,0.072837
24,0.026134,0.028563,0.036024
25,0.021130,0.022864,0.027572
26,0.036608,0.038284,0.042977
27,0.035789,0.037759,0.043319
28,0.035169,0.037611,0.042154
29,0.084026,0.099743,0.121820
30,0.029856,0.033021,0.043998
31,0.111153,0.133812,0.233083
32,0.027015,0.028211,0.031896
33,0.039877,0.042122,0.047560
34,0.098240,0.103011,0.113113
35,0.042366,0.043647,0.049939
36,0.053582,0.056359,0.062629
37,0.150208,0.176098,0.198618
38,0.109224,0.112050,0.120568
39,0.047551,0.049585,0.055535
40,0.041342,0.045104,0.057392
41,0.265049,0.273179,0.297566
42,0.066298,0.068223,0.082896
43,0.283265,0.295874,0.305868
44,0.071721,0.077047,0.088918
45,0.073391,0.077507,0.086424
46,0.237043,0.252405,0.263123
47,0.290752,0.310913,0.332273
48,0.078410,0.082805,0.088434
49,0.137486,0.142076,0.148877
50,0.091978,0.095792,0.104942
51,0.257926,0.262667,0.273637
52,0.104190,0.120052,0.130930
53,0.434712,0.457179,0.481802
54,0.111614,0.116562,0.124781
55,0.119348,0.123408,0.132111
56,0.113399,0.126850,0.138897
57,0.343551,0.351561,0.361222
58,0.435128,0.460201,0.495547
59,0.461384,0.480064,0.549087
60,0.145707,0.151426,0.161007
61,0.728272,0.759282,0.819653
62,0.465078,0.501452,0.519923
63,0.151814,0.157875,0.169277
64,0.107987,0.112911,0.133517
65,0.165598,0.172652,0.181012
66,0.163900,0.169896,0.182763
67,0.860987,0.871303,0.899790
68,0.440710,0.448440,0.467509
69,0.539018,0.551123,0.571883
70,0.191112,0.200380,0.210987
71,0.643100,0.659647,0.678016
72,0.181775,0.190563,0.197130
73,0.872308,0.890395,0.922644
74,0.867092,0.890163,1.529163
75,0.239832,0.247371,0.279407
76,0.558233,0.583973,0.600096
77,0.245208,0.256215,0.270561
78,0.263737,0.276535,0.286948
79,0.824636,0.852561,1.317911
80,0.247285,0.254480,0.266311
81,0.331400,0.343045,0.358013
82,1.448886,1.459509,1.507927
83,1.236523,1.268493,1.322101
84,0.315523,0.326072,0.348240
85,0.854283,0.882164,0.922889
86,1.625325,1.646308,3.043326
87,1.365350,1.385572,1.411049
88,0.395366,0.403254,0.422571
89,1.385435,1.423072,1.574285
90,0.383485,0.392476,0.414371
91,0.433230,0.454463,0.470539
92,1.172360,1.182419,1.195471
93,1.615623,1.631939,2.374926
94,1.800319,1.856503,1.937153
95,1.206591,1.219922,1.238865
96,0.364122,0.384559,0.560349
97,1.473803,1.504395,1.910129
98,0.419445,0.427731,0.441541
99,0.484027,0.496336,0.516539
100,0.430358,0.438379,0.452623
101,1.778955,1.808868,1.850443
102,1.254853,1.267186,1.298963
103,1.885564,1.908721,1.926018
104,0.524733,0.542043,0.634810
105,0.495858,0.508596,0.526169
106,3.086185,3.193810,3.342615
107,1.929453,1.958168,2.004509
108,0.496208,0.520799,0.564935
109,2.981579,3.007205,3.041655
110,0.529881,0.541739,0.554734
111,2.665193,2.683708,2.706703
112,0.519415,0.534439,0.557953
113,3.661649,3.751322,3.904181
114,1.650101,1.671305,1.707116
115,1.970038,2.022303,2.056473
116,2.503260,2.553955,2.607964
117,0.730369,0.741387,0.781446
118,3.282499,3.367754,3.484855
119,1.793171,1.821121,2.469593
120,0.606427,0.631595,0.672617
121,1.213699,1.246436,1.354417
122,5.004729,5.154007,5.401956
123,4.591379,4.618850,4.647771
124,3.390232,3.417706,3.460697
125,0.967755,0.991756,1.016492
126,0.850007,0.859366,0.887575
