Expm 1: Only FFT
N=128, dim=3, Num: 2097152

Printing individual runtimes:
 0: 3.918762ms
 1: 3.453986ms
 2: 3.462157ms
 3: 3.456295ms
 4: 3.462527ms
 5: 3.454062ms
 6: 3.477913ms
 7: 3.442765ms
 8: 3.463450ms
 9: 3.465422ms
 10: 3.435152ms
 11: 3.877961ms
 12: 3.434537ms
 13: 3.433342ms
 14: 3.444199ms
 15: 3.430655ms
 16: 3.444378ms
 17: 3.431818ms
 18: 3.440490ms
 19: 3.441653ms
 20: 3.452509ms
 21: 3.437757ms
 22: 3.440330ms
 23: 3.436286ms
 24: 3.454992ms
 25: 3.462299ms
 26: 3.470734ms
 27: 3.451098ms
 28: 3.446642ms
 29: 3.437550ms
 30: 3.455789ms
 31: 3.448941ms
 32: 3.455405ms
 33: 3.832487ms
 34: 3.443566ms
 35: 3.439248ms
 36: 3.432831ms
 37: 3.437629ms
 38: 3.575204ms
 39: 3.466665ms
 40: 3.437202ms
 41: 3.448397ms
 42: 3.452398ms
 43: 3.452365ms
 44: 3.433434ms
 45: 3.428392ms
 46: 3.432260ms
 47: 3.436098ms
 48: 3.440514ms
 49: 3.440495ms
 50: 3.445823ms
 51: 3.446897ms
 52: 3.441523ms
 53: 3.449357ms
 54: 3.431442ms
 55: 3.446709ms
 56: 3.433363ms
 57: 3.446831ms
 58: 3.446860ms
 59: 3.545442ms
 60: 3.454651ms
 61: 3.462791ms
 62: 3.461512ms
 63: 3.443672ms
 64: 3.468362ms
 65: 3.436939ms
 66: 3.449681ms
 67: 3.438703ms
 68: 3.448651ms
 69: 3.453235ms
 70: 3.450802ms
 71: 3.454271ms
 72: 3.454013ms
 73: 3.448999ms
 74: 3.466159ms
 75: 3.431198ms
 76: 3.447786ms
 77: 3.433674ms
 78: 3.445658ms
 79: 3.442517ms
 80: 3.437583ms
 81: 3.461123ms
 82: 3.452906ms
 83: 3.447628ms
 84: 3.466341ms
 85: 3.463730ms
 86: 3.447617ms
 87: 3.429442ms
 88: 3.440410ms
 89: 3.444940ms
 90: 3.439293ms
 91: 3.439455ms
 92: 3.439440ms
 93: 3.450501ms
 94: 3.451618ms
 95: 3.443849ms
 96: 3.467487ms
 97: 3.448828ms
 98: 3.462727ms
 99: 3.460295ms
 100: 3.438246ms
 101: 3.423974ms
 102: 3.444457ms
 103: 3.434972ms
 104: 3.436230ms
 105: 3.431817ms
 106: 3.461003ms
 107: 3.861595ms
 108: 3.457649ms
 109: 3.441882ms
 110: 3.454386ms
 111: 3.462455ms
 112: 3.443985ms
 113: 3.437891ms
 114: 3.445995ms
 115: 3.439863ms
 116: 3.446558ms
 117: 3.442129ms
 118: 3.466867ms
 119: 3.481892ms
 120: 3.437831ms
 121: 3.432731ms
 122: 3.443704ms
 123: 3.440504ms
 124: 3.457860ms
 125: 3.438651ms
 126: 3.462379ms
 127: 3.442794ms
 128: 3.446703ms
 129: 3.440102ms
 130: 3.445258ms
 131: 3.450879ms
 132: 3.446920ms
 133: 3.457931ms
 134: 3.465946ms
 135: 3.439613ms
 136: 3.543107ms
 137: 3.438154ms
 138: 3.437127ms
 139: 3.516602ms
 140: 3.439430ms
 141: 3.442640ms
 142: 3.444111ms
 143: 3.469865ms
 144: 3.438067ms
 145: 3.431713ms
 146: 3.438745ms
 147: 3.451008ms
 148: 3.451462ms
 149: 3.450817ms
 150: 3.434977ms
 151: 3.442740ms
 152: 3.451079ms
 153: 3.454978ms
 154: 3.556364ms
 155: 3.437282ms
 156: 3.445692ms
 157: 3.457100ms
 158: 3.440597ms
 159: 3.449103ms
 160: 3.441998ms
 161: 3.457765ms
 162: 3.445116ms
 163: 3.443740ms
 164: 3.439568ms
 165: 3.440360ms
 166: 3.715471ms
 167: 3.475846ms
 168: 3.454716ms
 169: 3.474732ms
 170: 3.469492ms
 171: 3.459043ms
 172: 3.449619ms
 173: 3.421859ms
 174: 3.440964ms
 175: 3.436892ms
 176: 3.552243ms
 177: 3.438830ms
 178: 3.486469ms
 179: 3.453653ms
 180: 3.823878ms
 181: 3.435933ms
 182: 3.445861ms
 183: 3.423188ms
 184: 3.441312ms
 185: 3.456243ms
 186: 3.447843ms
 187: 3.460396ms
 188: 3.431767ms
 189: 3.454087ms
 190: 3.658387ms
 191: 3.439610ms
 192: 3.459093ms
 193: 3.446259ms
 194: 3.475965ms
 195: 3.440953ms
 196: 3.426882ms
 197: 3.430769ms
 198: 3.440882ms
 199: 3.472075ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 128^3
Threads             : 2
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 3.463250 ms
Runtime per batch   : 3.463250 ms
SD                  : 0.071584 ms
Q1                  : 3.439430 ms
Median              : 3.446672 ms
Q3                  : 3.457649 ms
