Expm 1: Only FFT
N=64, dim=3, Num: 262144

Printing individual runtimes:
 0: 2.644262ms
 1: 0.121691ms
 2: 0.121048ms
 3: 0.128569ms
 4: 0.141771ms
 5: 0.123048ms
 6: 0.121315ms
 7: 0.128768ms
 8: 0.127460ms
 9: 0.119610ms
 10: 0.127831ms
 11: 0.134108ms
 12: 0.123579ms
 13: 0.115182ms
 14: 0.122103ms
 15: 0.114815ms
 16: 0.122877ms
 17: 0.124329ms
 18: 0.140110ms
 19: 0.124732ms
 20: 0.121618ms
 21: 0.110027ms
 22: 0.130448ms
 23: 0.127798ms
 24: 0.141175ms
 25: 0.124340ms
 26: 0.130676ms
 27: 0.132550ms
 28: 0.135588ms
 29: 0.124101ms
 30: 0.122129ms
 31: 0.121461ms
 32: 0.129894ms
 33: 0.124715ms
 34: 0.124644ms
 35: 0.123356ms
 36: 0.132436ms
 37: 0.139725ms
 38: 0.129549ms
 39: 0.133545ms
 40: 0.117564ms
 41: 0.123412ms
 42: 0.131222ms
 43: 0.121317ms
 44: 0.141934ms
 45: 0.125144ms
 46: 0.130331ms
 47: 0.126504ms
 48: 0.120501ms
 49: 0.120919ms
 50: 0.120239ms
 51: 0.132240ms
 52: 0.124514ms
 53: 0.122040ms
 54: 0.123819ms
 55: 0.121883ms
 56: 0.130905ms
 57: 0.121266ms
 58: 0.112448ms
 59: 0.131812ms
 60: 0.122144ms
 61: 0.120544ms
 62: 0.126143ms
 63: 0.132954ms
 64: 0.126588ms
 65: 0.124529ms
 66: 0.123737ms
 67: 0.111472ms
 68: 0.132783ms
 69: 0.130158ms
 70: 0.120034ms
 71: 0.132807ms
 72: 0.120355ms
 73: 0.125130ms
 74: 0.124268ms
 75: 0.121564ms
 76: 0.125006ms
 77: 0.113032ms
 78: 0.138552ms
 79: 0.132787ms
 80: 0.137216ms
 81: 0.123765ms
 82: 0.129649ms
 83: 0.126509ms
 84: 0.129417ms
 85: 0.129143ms
 86: 0.125516ms
 87: 0.119109ms
 88: 0.126084ms
 89: 0.123411ms
 90: 0.143208ms
 91: 0.401832ms
 92: 0.123364ms
 93: 0.122635ms
 94: 0.128589ms
 95: 0.122983ms
 96: 0.124697ms
 97: 0.116584ms
 98: 0.123534ms
 99: 0.123325ms
 100: 0.123947ms
 101: 0.119811ms
 102: 0.119649ms
 103: 0.136298ms
 104: 0.118594ms
 105: 0.125171ms
 106: 0.124608ms
 107: 0.122695ms
 108: 0.145010ms
 109: 0.120599ms
 110: 0.120207ms
 111: 0.124244ms
 112: 0.135522ms
 113: 0.123034ms
 114: 0.138621ms
 115: 0.122140ms
 116: 0.120413ms
 117: 0.128681ms
 118: 0.138603ms
 119: 0.132574ms
 120: 0.132313ms
 121: 0.122806ms
 122: 0.141082ms
 123: 0.122201ms
 124: 0.121347ms
 125: 0.120550ms
 126: 0.122722ms
 127: 0.138809ms
 128: 0.137768ms
 129: 0.120713ms
 130: 0.119461ms
 131: 0.119631ms
 132: 0.121525ms
 133: 0.123900ms
 134: 0.130011ms
 135: 0.133310ms
 136: 0.123749ms
 137: 0.128693ms
 138: 0.111112ms
 139: 0.119713ms
 140: 0.129458ms
 141: 0.140101ms
 142: 0.138884ms
 143: 0.122070ms
 144: 0.127529ms
 145: 0.122996ms
 146: 0.121271ms
 147: 0.121140ms
 148: 0.131852ms
 149: 0.123746ms
 150: 0.123754ms
 151: 0.126283ms
 152: 0.144553ms
 153: 0.123273ms
 154: 0.128919ms
 155: 0.130054ms
 156: 0.129249ms
 157: 0.118226ms
 158: 0.121404ms
 159: 0.123452ms
 160: 0.124154ms
 161: 0.121444ms
 162: 0.119592ms
 163: 0.148790ms
 164: 0.123268ms
 165: 0.119492ms
 166: 0.117857ms
 167: 0.139876ms
 168: 0.135479ms
 169: 0.124018ms
 170: 0.131629ms
 171: 0.122024ms
 172: 0.122737ms
 173: 0.138814ms
 174: 0.126481ms
 175: 0.129919ms
 176: 0.138616ms
 177: 0.144353ms
 178: 0.125438ms
 179: 0.117283ms
 180: 0.122817ms
 181: 0.125254ms
 182: 0.125252ms
 183: 0.133416ms
 184: 0.122586ms
 185: 0.122615ms
 186: 0.131584ms
 187: 0.131394ms
 188: 0.122921ms
 189: 0.120492ms
 190: 0.118860ms
 191: 0.133113ms
 192: 0.136129ms
 193: 0.120575ms
 194: 0.122185ms
 195: 0.121511ms
 196: 0.121016ms
 197: 0.131031ms
 198: 0.118802ms
 199: 0.138751ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 64^3
Threads             : 36
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.140419 ms
Runtime per batch   : 0.140419 ms
SD                  : 0.178694 ms
Q1                  : 0.121525 ms
Median              : 0.124298 ms
Q3                  : 0.131031 ms
