Expm 1: Only FFT
N=32, dim=3, Num: 32768

Printing individual runtimes:
 0: 1.042801ms
 1: 0.044621ms
 2: 0.040956ms
 3: 0.040716ms
 4: 0.043948ms
 5: 0.060075ms
 6: 0.045122ms
 7: 0.046317ms
 8: 0.042539ms
 9: 0.045705ms
 10: 0.044072ms
 11: 0.047371ms
 12: 0.041542ms
 13: 0.045531ms
 14: 0.046877ms
 15: 0.045718ms
 16: 0.039357ms
 17: 0.047271ms
 18: 0.047584ms
 19: 0.044358ms
 20: 0.039619ms
 21: 0.038286ms
 22: 0.046873ms
 23: 0.044915ms
 24: 0.039973ms
 25: 0.038754ms
 26: 0.045475ms
 27: 0.046265ms
 28: 0.044702ms
 29: 0.043598ms
 30: 0.040420ms
 31: 0.046081ms
 32: 0.044228ms
 33: 0.047020ms
 34: 0.043378ms
 35: 0.048980ms
 36: 0.044339ms
 37: 0.042548ms
 38: 0.048501ms
 39: 0.046522ms
 40: 0.044345ms
 41: 0.049283ms
 42: 0.041585ms
 43: 0.044354ms
 44: 0.044046ms
 45: 0.045279ms
 46: 0.043960ms
 47: 0.045946ms
 48: 0.046135ms
 49: 0.043919ms
 50: 0.045203ms
 51: 0.045491ms
 52: 0.040356ms
 53: 0.046692ms
 54: 0.045691ms
 55: 0.037816ms
 56: 0.046790ms
 57: 0.046852ms
 58: 0.037894ms
 59: 0.045363ms
 60: 0.045544ms
 61: 0.046172ms
 62: 0.044332ms
 63: 0.041928ms
 64: 0.048450ms
 65: 0.044174ms
 66: 0.031201ms
 67: 0.045813ms
 68: 0.044983ms
 69: 0.045821ms
 70: 0.046618ms
 71: 0.042948ms
 72: 0.047925ms
 73: 0.046728ms
 74: 0.046464ms
 75: 0.048599ms
 76: 0.060079ms
 77: 0.041642ms
 78: 0.046871ms
 79: 0.046531ms
 80: 0.045490ms
 81: 0.037508ms
 82: 0.045603ms
 83: 0.038632ms
 84: 0.044841ms
 85: 0.045768ms
 86: 0.048282ms
 87: 0.046158ms
 88: 0.044090ms
 89: 0.045295ms
 90: 0.047220ms
 91: 0.044039ms
 92: 0.047439ms
 93: 0.039173ms
 94: 0.047010ms
 95: 0.046151ms
 96: 0.046405ms
 97: 0.046759ms
 98: 0.046693ms
 99: 0.038523ms
 100: 0.047898ms
 101: 0.046897ms
 102: 0.047034ms
 103: 0.047082ms
 104: 0.044360ms
 105: 0.046110ms
 106: 0.048187ms
 107: 0.045741ms
 108: 0.046471ms
 109: 0.044707ms
 110: 0.045593ms
 111: 0.046446ms
 112: 0.044988ms
 113: 0.041373ms
 114: 0.046787ms
 115: 0.046780ms
 116: 0.044115ms
 117: 0.041862ms
 118: 0.046329ms
 119: 0.048339ms
 120: 0.047002ms
 121: 0.036805ms
 122: 0.048310ms
 123: 0.045252ms
 124: 0.043377ms
 125: 0.046988ms
 126: 0.046912ms
 127: 0.044125ms
 128: 0.045414ms
 129: 0.039175ms
 130: 0.038939ms
 131: 0.044869ms
 132: 0.037231ms
 133: 0.038004ms
 134: 0.041372ms
 135: 0.037896ms
 136: 0.046218ms
 137: 0.039013ms
 138: 0.046455ms
 139: 0.043054ms
 140: 0.044501ms
 141: 0.046611ms
 142: 0.040370ms
 143: 0.042671ms
 144: 0.040914ms
 145: 0.046507ms
 146: 0.042798ms
 147: 0.047816ms
 148: 0.047010ms
 149: 0.040658ms
 150: 0.045356ms
 151: 0.043171ms
 152: 0.047603ms
 153: 0.038233ms
 154: 0.040548ms
 155: 0.043221ms
 156: 0.046984ms
 157: 0.048054ms
 158: 0.036806ms
 159: 0.037817ms
 160: 0.045701ms
 161: 0.047468ms
 162: 0.043618ms
 163: 0.045986ms
 164: 0.046015ms
 165: 0.045678ms
 166: 0.041168ms
 167: 0.046476ms
 168: 0.048344ms
 169: 0.037795ms
 170: 0.047352ms
 171: 0.044762ms
 172: 0.045148ms
 173: 0.046715ms
 174: 0.044639ms
 175: 0.040367ms
 176: 0.043304ms
 177: 0.040095ms
 178: 0.046285ms
 179: 0.059081ms
 180: 0.047610ms
 181: 0.044379ms
 182: 0.039574ms
 183: 0.042385ms
 184: 0.045565ms
 185: 0.045409ms
 186: 0.048290ms
 187: 0.047250ms
 188: 0.039491ms
 189: 0.047536ms
 190: 0.046186ms
 191: 0.050709ms
 192: 0.046161ms
 193: 0.051117ms
 194: 0.046815ms
 195: 0.038950ms
 196: 0.043742ms
 197: 0.045525ms
 198: 0.045842ms
 199: 0.043301ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 32^3
Threads             : 19
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.049634 ms
Runtime per batch   : 0.049634 ms
SD                  : 0.070500 ms
Q1                  : 0.042798 ms
Median              : 0.045483 ms
Q3                  : 0.046715 ms
