Expm 1: Only FFT
N=32, dim=3, Num: 32768

Printing individual runtimes:
 0: 0.731971ms
 1: 0.063929ms
 2: 0.073581ms
 3: 0.048762ms
 4: 0.064264ms
 5: 0.079765ms
 6: 0.062053ms
 7: 0.062744ms
 8: 0.062885ms
 9: 0.077935ms
 10: 0.055613ms
 11: 0.064835ms
 12: 0.056322ms
 13: 0.064069ms
 14: 0.067933ms
 15: 0.063083ms
 16: 0.062930ms
 17: 0.065521ms
 18: 0.065486ms
 19: 0.058231ms
 20: 0.063988ms
 21: 0.077282ms
 22: 0.063258ms
 23: 0.062785ms
 24: 0.063330ms
 25: 0.063843ms
 26: 0.063909ms
 27: 0.066365ms
 28: 0.062051ms
 29: 0.060052ms
 30: 0.076355ms
 31: 0.065058ms
 32: 0.048950ms
 33: 0.063105ms
 34: 0.057205ms
 35: 0.047529ms
 36: 0.064230ms
 37: 0.062573ms
 38: 0.055047ms
 39: 0.061850ms
 40: 0.076165ms
 41: 0.061947ms
 42: 0.062229ms
 43: 0.062150ms
 44: 0.068507ms
 45: 0.062573ms
 46: 0.064954ms
 47: 0.062842ms
 48: 0.076666ms
 49: 0.070703ms
 50: 0.077542ms
 51: 0.076976ms
 52: 0.081752ms
 53: 0.054354ms
 54: 0.065633ms
 55: 0.062695ms
 56: 0.063573ms
 57: 0.062815ms
 58: 0.061392ms
 59: 0.062054ms
 60: 0.055272ms
 61: 0.060574ms
 62: 0.079861ms
 63: 0.062089ms
 64: 0.062184ms
 65: 0.062988ms
 66: 0.061543ms
 67: 0.063542ms
 68: 0.061605ms
 69: 0.063536ms
 70: 0.063117ms
 71: 0.065199ms
 72: 0.060868ms
 73: 0.063211ms
 74: 0.068630ms
 75: 0.048075ms
 76: 0.057153ms
 77: 0.063334ms
 78: 0.060857ms
 79: 0.062136ms
 80: 0.081589ms
 81: 0.055860ms
 82: 0.063904ms
 83: 0.057859ms
 84: 0.063423ms
 85: 0.060555ms
 86: 0.063068ms
 87: 0.062873ms
 88: 0.062395ms
 89: 0.060401ms
 90: 0.046717ms
 91: 0.058198ms
 92: 0.062236ms
 93: 0.063570ms
 94: 0.061002ms
 95: 0.062559ms
 96: 0.049833ms
 97: 0.062494ms
 98: 0.079323ms
 99: 0.063113ms
 100: 0.058272ms
 101: 0.064380ms
 102: 0.082488ms
 103: 0.058115ms
 104: 0.075577ms
 105: 0.061704ms
 106: 0.062927ms
 107: 0.076254ms
 108: 0.047763ms
 109: 0.063277ms
 110: 0.067229ms
 111: 0.063586ms
 112: 0.069034ms
 113: 0.076890ms
 114: 0.060535ms
 115: 0.064211ms
 116: 0.062915ms
 117: 0.062834ms
 118: 0.076204ms
 119: 0.059265ms
 120: 0.060453ms
 121: 0.063401ms
 122: 0.060365ms
 123: 0.063733ms
 124: 0.062207ms
 125: 0.062782ms
 126: 0.061028ms
 127: 0.058409ms
 128: 0.075668ms
 129: 0.060452ms
 130: 0.079320ms
 131: 0.075896ms
 132: 0.062591ms
 133: 0.076687ms
 134: 0.061280ms
 135: 0.060667ms
 136: 0.078680ms
 137: 0.064218ms
 138: 0.063067ms
 139: 0.083174ms
 140: 0.062859ms
 141: 0.061881ms
 142: 0.069235ms
 143: 0.061495ms
 144: 0.064481ms
 145: 0.064598ms
 146: 0.061333ms
 147: 0.063283ms
 148: 0.066474ms
 149: 0.049532ms
 150: 0.047628ms
 151: 0.067286ms
 152: 0.060836ms
 153: 0.063798ms
 154: 0.063546ms
 155: 0.063714ms
 156: 0.059223ms
 157: 0.067753ms
 158: 0.065558ms
 159: 0.063212ms
 160: 0.063827ms
 161: 0.064150ms
 162: 0.062421ms
 163: 0.063543ms
 164: 0.062113ms
 165: 0.067340ms
 166: 0.081619ms
 167: 0.062378ms
 168: 0.076266ms
 169: 0.081446ms
 170: 0.062347ms
 171: 0.062967ms
 172: 0.059181ms
 173: 0.062126ms
 174: 0.061721ms
 175: 0.078093ms
 176: 0.063369ms
 177: 0.067040ms
 178: 0.084336ms
 179: 0.058593ms
 180: 0.062040ms
 181: 0.055546ms
 182: 0.065062ms
 183: 0.068918ms
 184: 0.071695ms
 185: 0.062312ms
 186: 0.060802ms
 187: 0.046828ms
 188: 0.062292ms
 189: 0.075836ms
 190: 0.049412ms
 191: 0.061964ms
 192: 0.062217ms
 193: 0.064077ms
 194: 0.062499ms
 195: 0.081657ms
 196: 0.063112ms
 197: 0.058567ms
 198: 0.062310ms
 199: 0.048958ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 32^3
Threads             : 6
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.067556 ms
Runtime per batch   : 0.067556 ms
SD                  : 0.047691 ms
Q1                  : 0.061333 ms
Median              : 0.062977 ms
Q3                  : 0.065486 ms
