FFTSize,TotalRuntime(ms),AvgRuntime(ms),Throughput(GFLOPS)
64³,1380.0651,1.3801,17.0955
64³,780.1214,0.7801,30.2427
64³,582.6335,0.5826,40.4937
64³,486.1601,0.4862,48.5292
64³,424.4323,0.4244,55.5871
64³,374.4495,0.3744,63.0071
64³,362.1033,0.3621,65.1553
64³,309.3749,0.3094,76.2601
64³,310.0486,0.3100,76.0944
64³,293.6202,0.2936,80.3520
64³,258.2002,0.2582,91.3747
64³,259.0128,0.2590,91.0880
64³,229.8251,0.2298,102.6561
64³,230.3729,0.2304,102.4121
64³,230.8943,0.2309,102.1808
64³,203.4655,0.2035,115.9556
64³,204.9214,0.2049,115.1318
64³,205.9145,0.2059,114.5765
64³,203.0007,0.2030,116.2211
64³,204.0535,0.2041,115.6214
64³,205.3393,0.2053,114.8974
64³,196.9360,0.1969,119.8001
64³,201.4015,0.2014,117.1439
64³,199.3405,0.1993,118.3551
64³,198.1400,0.1981,119.0722
64³,197.8161,0.1978,119.2672
64³,199.3138,0.1993,118.3709
64³,199.0352,0.1990,118.5366
64³,210.3738,0.2104,112.1478
64³,208.7877,0.2088,112.9998
64³,198.5608,0.1986,118.8198
64³,245.4435,0.2454,96.1238
64³,249.9947,0.2500,94.3738
64³,228.9587,0.2290,103.0446
64³,253.1347,0.2531,93.2032
64³,237.4703,0.2375,99.3512
64³,223.8949,0.2239,105.3752
64³,246.9826,0.2470,95.5248
64³,249.3491,0.2493,94.6182
64³,233.6582,0.2337,100.9721
