FFTSize,TotalRuntime(ms),AvgRuntime(ms),Throughput(GFLOPS)
16³,10.0170,0.0100,24.5344
16³,12.7817,0.0128,19.2275
16³,14.1046,0.0141,17.4241
16³,17.6498,0.0176,13.9243
16³,14.6255,0.0146,16.8035
16³,13.8282,0.0138,17.7723
16³,13.9107,0.0139,17.6670
16³,13.2312,0.0132,18.5743
16³,12.8027,0.0128,19.1959
16³,12.7607,0.0128,19.2591
16³,12.8063,0.0128,19.1906
16³,14.4963,0.0145,16.9533
16³,12.8930,0.0129,19.0615
16³,13.9029,0.0139,17.6769
16³,13.1847,0.0132,18.6398
16³,13.0221,0.0130,18.8726
16³,13.1588,0.0132,18.6765
16³,13.5618,0.0136,18.1215
16³,13.9972,0.0140,17.5578
16³,14.2271,0.0142,17.2741
16³,15.3757,0.0154,15.9836
16³,15.4873,0.0155,15.8685
16³,15.2982,0.0153,16.0646
16³,15.3433,0.0153,16.0175
16³,15.6797,0.0157,15.6737
16³,15.3029,0.0153,16.0598
16³,15.4479,0.0154,15.9090
16³,18.9530,0.0190,12.9668
16³,16.3452,0.0163,15.0356
16³,16.5736,0.0166,14.8284
16³,15.9511,0.0160,15.4071
16³,19.5752,0.0196,12.5546
16³,20.0318,0.0200,12.2685
16³,19.7802,0.0198,12.4245
16³,19.5757,0.0196,12.5544
16³,19.6132,0.0196,12.5304
16³,19.6145,0.0196,12.5295
16³,21.3762,0.0214,11.4969
16³,21.3331,0.0213,11.5201
16³,23.8944,0.0239,10.2852
