FFTSize,TotalRuntime(ms),AvgRuntime(ms),Throughput(GFLOPS)
128³,170.6811,17.0681,12.9013
128³,91.8296,9.1830,23.9793
128³,58.9215,5.8921,37.3720
128³,46.5524,4.6552,47.3017
128³,38.0187,3.8019,57.9191
128³,34.0985,3.4099,64.5778
128³,29.4709,2.9471,74.7181
128³,26.3573,2.6357,83.5447
128³,23.3509,2.3351,94.3009
128³,21.3520,2.1352,103.1292
128³,20.1973,2.0197,109.0248
128³,18.8671,1.8867,116.7116
128³,17.1077,1.7108,128.7148
128³,17.3541,1.7354,126.8867
128³,15.4883,1.5488,142.1725
128³,15.1555,1.5156,145.2943
128³,14.9785,1.4979,147.0109
128³,15.4017,1.5402,142.9720
128³,14.0868,1.4087,156.3169
128³,13.9296,1.3930,158.0808
128³,14.2158,1.4216,154.8990
128³,30.2535,3.0254,72.7852
128³,15.2869,1.5287,144.0457
128³,15.6527,1.5653,140.6789
128³,15.7660,1.5766,139.6683
128³,27.2606,2.7261,80.7764
128³,15.9642,1.5964,137.9340
128³,20.5799,2.0580,106.9979
128³,16.2445,1.6244,135.5545
128³,19.6746,1.9675,111.9217
128³,27.3120,2.7312,80.6244
128³,21.7255,2.1726,101.3558
128³,20.6126,2.0613,106.8281
128³,31.0583,3.1058,70.8991
128³,20.2979,2.0298,108.4845
128³,20.3717,2.0372,108.0918
128³,20.9390,2.0939,105.1629
128³,20.3711,2.0371,108.0945
128³,33.0407,3.3041,66.6454
128³,46.2546,4.6255,47.6063
