FFTSize,TotalRuntime(ms),AvgRuntime(ms),Throughput(GFLOPS)
32³,125.9781,0.1260,19.5081
32³,125.4784,0.1255,19.5858
32³,105.8682,0.1059,23.2138
32³,84.3412,0.0843,29.1388
32³,82.9388,0.0829,29.6315
32³,81.7144,0.0817,30.0755
32³,78.2991,0.0783,31.3873
32³,70.4096,0.0704,34.9043
32³,71.0921,0.0711,34.5692
32³,71.1563,0.0712,34.5381
32³,66.1789,0.0662,37.1357
32³,65.8911,0.0659,37.2979
32³,65.8093,0.0658,37.3443
32³,66.6820,0.0667,36.8555
32³,66.7983,0.0668,36.7914
32³,56.3947,0.0564,43.5786
32³,56.4516,0.0565,43.5346
32³,57.4233,0.0574,42.7979
32³,56.7912,0.0568,43.2743
32³,57.5434,0.0575,42.7087
32³,58.5356,0.0585,41.9847
32³,59.0312,0.0590,41.6323
32³,59.7617,0.0598,41.1233
32³,59.6270,0.0596,41.2162
32³,59.5060,0.0595,41.3000
32³,60.3877,0.0604,40.6970
32³,61.1500,0.0611,40.1897
32³,63.0771,0.0631,38.9618
32³,60.9413,0.0609,40.3273
32³,61.3114,0.0613,40.0839
32³,62.3792,0.0624,39.3977
32³,82.4377,0.0824,29.8116
32³,78.3322,0.0783,31.3741
32³,77.1235,0.0771,31.8658
32³,79.4103,0.0794,30.9481
32³,82.9161,0.0829,29.6396
32³,79.6122,0.0796,30.8696
32³,80.2776,0.0803,30.6138
32³,78.9504,0.0790,31.1284
32³,84.1166,0.0841,29.2166
