Expm 1: Only FFT
N=64, dim=3, Num: 262144

Printing individual runtimes:
 0: 0.634624ms
 1: 0.588909ms
 2: 0.597404ms
 3: 0.594720ms
 4: 0.594020ms
 5: 0.594252ms
 6: 0.594665ms
 7: 0.593235ms
 8: 0.597696ms
 9: 0.593629ms
 10: 0.592056ms
 11: 0.594831ms
 12: 0.593994ms
 13: 0.595133ms
 14: 0.596813ms
 15: 0.596519ms
 16: 0.593247ms
 17: 0.594519ms
 18: 0.595495ms
 19: 0.590408ms
 20: 0.593152ms
 21: 0.599415ms
 22: 0.590591ms
 23: 0.596196ms
 24: 0.598208ms
 25: 0.589911ms
 26: 0.593205ms
 27: 0.596323ms
 28: 0.591766ms
 29: 0.597465ms
 30: 0.593545ms
 31: 0.589586ms
 32: 0.593371ms
 33: 0.598162ms
 34: 0.590672ms
 35: 0.600867ms
 36: 0.593932ms
 37: 0.590111ms
 38: 0.594316ms
 39: 0.596747ms
 40: 0.587819ms
 41: 0.595171ms
 42: 0.598436ms
 43: 0.591047ms
 44: 0.598397ms
 45: 0.596066ms
 46: 0.591215ms
 47: 0.594457ms
 48: 0.594147ms
 49: 0.593171ms
 50: 0.598883ms
 51: 0.600915ms
 52: 0.589987ms
 53: 0.593105ms
 54: 0.602700ms
 55: 0.591796ms
 56: 0.594564ms
 57: 0.596394ms
 58: 0.596559ms
 59: 0.593215ms
 60: 0.592653ms
 61: 0.593828ms
 62: 0.593749ms
 63: 0.597606ms
 64: 0.608825ms
 65: 0.594605ms
 66: 0.596250ms
 67: 0.595038ms
 68: 0.594943ms
 69: 0.597919ms
 70: 0.609006ms
 71: 0.595250ms
 72: 0.594791ms
 73: 0.595506ms
 74: 0.590565ms
 75: 0.595166ms
 76: 0.595651ms
 77: 0.596447ms
 78: 0.595917ms
 79: 0.598092ms
 80: 0.590294ms
 81: 0.595497ms
 82: 0.605508ms
 83: 0.584915ms
 84: 0.594165ms
 85: 0.589507ms
 86: 0.590047ms
 87: 0.597986ms
 88: 0.595334ms
 89: 0.589706ms
 90: 0.607856ms
 91: 0.589022ms
 92: 0.589245ms
 93: 0.603042ms
 94: 0.593525ms
 95: 0.591522ms
 96: 0.595547ms
 97: 0.592758ms
 98: 0.591999ms
 99: 0.596594ms
 100: 0.590267ms
 101: 0.588046ms
 102: 0.594960ms
 103: 0.589519ms
 104: 0.592273ms
 105: 0.595764ms
 106: 0.590052ms
 107: 0.587119ms
 108: 0.598958ms
 109: 0.589193ms
 110: 0.606720ms
 111: 0.594596ms
 112: 0.594756ms
 113: 0.591567ms
 114: 0.595576ms
 115: 0.594212ms
 116: 0.590922ms
 117: 0.595996ms
 118: 0.594521ms
 119: 0.592362ms
 120: 0.600281ms
 121: 0.593876ms
 122: 0.593984ms
 123: 0.587365ms
 124: 0.590459ms
 125: 0.593540ms
 126: 0.595573ms
 127: 0.589666ms
 128: 0.596013ms
 129: 0.595267ms
 130: 0.589837ms
 131: 0.593706ms
 132: 0.595520ms
 133: 0.595361ms
 134: 0.593363ms
 135: 0.596078ms
 136: 0.595037ms
 137: 0.589496ms
 138: 0.599303ms
 139: 0.596100ms
 140: 0.592407ms
 141: 0.596006ms
 142: 0.595957ms
 143: 0.584703ms
 144: 0.595198ms
 145: 0.598489ms
 146: 0.590956ms
 147: 0.595592ms
 148: 0.595887ms
 149: 0.589803ms
 150: 0.592500ms
 151: 0.594983ms
 152: 0.589536ms
 153: 0.602736ms
 154: 0.588633ms
 155: 0.594476ms
 156: 0.594045ms
 157: 0.587294ms
 158: 0.590631ms
 159: 0.594291ms
 160: 0.590494ms
 161: 0.585869ms
 162: 0.593622ms
 163: 0.588248ms
 164: 0.589010ms
 165: 0.596881ms
 166: 0.590377ms
 167: 0.589684ms
 168: 0.597142ms
 169: 0.590670ms
 170: 0.596298ms
 171: 0.592602ms
 172: 0.592444ms
 173: 0.595216ms
 174: 0.596010ms
 175: 0.593048ms
 176: 0.592326ms
 177: 0.592796ms
 178: 0.591388ms
 179: 0.590194ms
 180: 0.594885ms
 181: 0.594751ms
 182: 0.588294ms
 183: 0.596420ms
 184: 0.595298ms
 185: 0.589892ms
 186: 0.594654ms
 187: 0.594461ms
 188: 0.590680ms
 189: 0.595692ms
 190: 0.593526ms
 191: 0.594131ms
 192: 0.595884ms
 193: 0.593393ms
 194: 0.592154ms
 195: 0.595384ms
 196: 0.594492ms
 197: 0.594010ms
 198: 0.595263ms
 199: 0.593338ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 64^3
Threads             : 1
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.594299 ms
Runtime per batch   : 0.594299 ms
SD                  : 0.004816 ms
Q1                  : 0.591388 ms
Median              : 0.594271 ms
Q3                  : 0.595917 ms
