Expm 1: Only FFT
N=64, dim=3, Num: 262144

Printing individual runtimes:
 0: 0.453975ms
 1: 0.318187ms
 2: 0.313576ms
 3: 0.313553ms
 4: 0.312208ms
 5: 0.312712ms
 6: 0.309693ms
 7: 0.311189ms
 8: 0.310278ms
 9: 0.312820ms
 10: 0.315243ms
 11: 0.309792ms
 12: 0.313996ms
 13: 0.306874ms
 14: 0.313451ms
 15: 0.311629ms
 16: 0.298600ms
 17: 0.398322ms
 18: 0.374553ms
 19: 0.374808ms
 20: 0.376703ms
 21: 0.378837ms
 22: 0.374691ms
 23: 0.379141ms
 24: 0.376494ms
 25: 0.374610ms
 26: 0.378945ms
 27: 0.375748ms
 28: 0.373972ms
 29: 0.379112ms
 30: 0.376051ms
 31: 0.372957ms
 32: 0.379450ms
 33: 0.374274ms
 34: 0.379368ms
 35: 0.378117ms
 36: 0.377073ms
 37: 0.379472ms
 38: 0.375879ms
 39: 0.372490ms
 40: 0.378219ms
 41: 0.376774ms
 42: 0.377019ms
 43: 0.381251ms
 44: 0.376541ms
 45: 0.378545ms
 46: 0.374935ms
 47: 0.376678ms
 48: 0.380270ms
 49: 0.375902ms
 50: 0.374614ms
 51: 0.380249ms
 52: 0.377584ms
 53: 0.377229ms
 54: 0.374256ms
 55: 0.377000ms
 56: 0.380990ms
 57: 0.378430ms
 58: 0.377460ms
 59: 0.383446ms
 60: 0.376311ms
 61: 0.374231ms
 62: 0.377537ms
 63: 0.377445ms
 64: 0.376301ms
 65: 0.377283ms
 66: 0.358440ms
 67: 0.378389ms
 68: 0.376746ms
 69: 0.378926ms
 70: 0.384321ms
 71: 0.376346ms
 72: 0.375353ms
 73: 0.378727ms
 74: 0.372172ms
 75: 0.373077ms
 76: 0.380478ms
 77: 0.375314ms
 78: 0.377678ms
 79: 0.379214ms
 80: 0.377316ms
 81: 0.379974ms
 82: 0.376131ms
 83: 0.377367ms
 84: 0.380351ms
 85: 0.377014ms
 86: 0.375694ms
 87: 1.068162ms
 88: 0.376285ms
 89: 0.373596ms
 90: 0.378349ms
 91: 0.383046ms
 92: 0.377920ms
 93: 0.378438ms
 94: 0.360277ms
 95: 0.377849ms
 96: 0.380135ms
 97: 0.376857ms
 98: 0.375018ms
 99: 0.380940ms
 100: 0.376434ms
 101: 0.379552ms
 102: 0.374171ms
 103: 0.371428ms
 104: 0.380517ms
 105: 0.379977ms
 106: 0.376113ms
 107: 0.380726ms
 108: 0.374687ms
 109: 0.382560ms
 110: 0.364204ms
 111: 0.374647ms
 112: 0.385935ms
 113: 0.376120ms
 114: 0.377142ms
 115: 0.378513ms
 116: 0.374292ms
 117: 0.376426ms
 118: 0.372236ms
 119: 0.381340ms
 120: 0.380674ms
 121: 0.373935ms
 122: 0.378286ms
 123: 0.377696ms
 124: 0.375607ms
 125: 0.363845ms
 126: 0.372662ms
 127: 0.377922ms
 128: 0.379861ms
 129: 0.374941ms
 130: 0.375032ms
 131: 0.380569ms
 132: 0.378685ms
 133: 0.376904ms
 134: 0.378005ms
 135: 0.377251ms
 136: 0.377920ms
 137: 0.376456ms
 138: 0.372806ms
 139: 0.380918ms
 140: 0.377244ms
 141: 0.382864ms
 142: 0.366455ms
 143: 0.379437ms
 144: 0.378923ms
 145: 0.373772ms
 146: 0.379540ms
 147: 0.380353ms
 148: 0.376154ms
 149: 0.378363ms
 150: 0.382991ms
 151: 0.377679ms
 152: 0.380305ms
 153: 0.373743ms
 154: 0.378153ms
 155: 0.380713ms
 156: 0.376816ms
 157: 0.377543ms
 158: 0.376583ms
 159: 0.380926ms
 160: 0.382269ms
 161: 0.359558ms
 162: 0.377808ms
 163: 0.383856ms
 164: 0.380702ms
 165: 0.373954ms
 166: 0.378528ms
 167: 0.375707ms
 168: 0.381556ms
 169: 0.375770ms
 170: 0.361056ms
 171: 0.380301ms
 172: 0.362002ms
 173: 0.377301ms
 174: 0.378924ms
 175: 0.361425ms
 176: 0.374328ms
 177: 0.377178ms
 178: 0.378041ms
 179: 0.379181ms
 180: 0.374381ms
 181: 0.376769ms
 182: 0.380227ms
 183: 0.379932ms
 184: 0.380852ms
 185: 0.375666ms
 186: 0.374875ms
 187: 0.382072ms
 188: 0.378393ms
 189: 0.379203ms
 190: 0.377873ms
 191: 0.375424ms
 192: 0.380980ms
 193: 0.374757ms
 194: 0.363921ms
 195: 0.376397ms
 196: 0.360672ms
 197: 0.376609ms
 198: 0.380693ms
 199: 0.378968ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 64^3
Threads             : 3
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.375425 ms
Runtime per batch   : 0.375425 ms
SD                  : 0.052743 ms
Q1                  : 0.374610 ms
Median              : 0.377046 ms
Q3                  : 0.379112 ms
