Expm 1: Only FFT
N=64, dim=3, Num: 262144

Printing individual runtimes:
 0: 14.281307ms
 1: 0.145123ms
 2: 0.135822ms
 3: 0.127142ms
 4: 0.139336ms
 5: 0.127801ms
 6: 0.140137ms
 7: 0.132895ms
 8: 0.137927ms
 9: 0.134417ms
 10: 0.138234ms
 11: 0.138581ms
 12: 0.136646ms
 13: 0.149580ms
 14: 0.135523ms
 15: 0.135823ms
 16: 0.132659ms
 17: 0.155409ms
 18: 0.143037ms
 19: 0.149735ms
 20: 0.145552ms
 21: 0.141110ms
 22: 0.145945ms
 23: 0.155408ms
 24: 0.143163ms
 25: 0.140835ms
 26: 0.143051ms
 27: 0.142661ms
 28: 0.142364ms
 29: 0.142416ms
 30: 0.147845ms
 31: 0.148982ms
 32: 0.150607ms
 33: 0.141755ms
 34: 0.158338ms
 35: 0.150275ms
 36: 0.147302ms
 37: 0.149009ms
 38: 0.160176ms
 39: 0.157090ms
 40: 0.150736ms
 41: 0.147917ms
 42: 0.154205ms
 43: 0.150328ms
 44: 0.145655ms
 45: 0.146852ms
 46: 0.167474ms
 47: 0.149565ms
 48: 0.166083ms
 49: 0.145750ms
 50: 0.155603ms
 51: 0.148571ms
 52: 0.149905ms
 53: 0.160297ms
 54: 0.157784ms
 55: 0.160382ms
 56: 0.155796ms
 57: 0.151165ms
 58: 0.156868ms
 59: 0.155678ms
 60: 0.159275ms
 61: 0.150165ms
 62: 0.157704ms
 63: 0.153739ms
 64: 0.151151ms
 65: 0.156076ms
 66: 0.153407ms
 67: 0.152909ms
 68: 0.157413ms
 69: 0.162391ms
 70: 0.148366ms
 71: 0.157948ms
 72: 0.162175ms
 73: 0.156058ms
 74: 0.160216ms
 75: 0.167472ms
 76: 0.175129ms
 77: 0.156811ms
 78: 0.155043ms
 79: 0.163097ms
 80: 0.166383ms
 81: 0.165062ms
 82: 0.169205ms
 83: 0.169149ms
 84: 0.169029ms
 85: 0.181297ms
 86: 0.164562ms
 87: 0.162509ms
 88: 0.166309ms
 89: 2.686925ms
 90: 0.143839ms
 91: 0.147379ms
 92: 0.142036ms
 93: 0.145180ms
 94: 0.145191ms
 95: 0.143879ms
 96: 0.148668ms
 97: 0.149192ms
 98: 0.145057ms
 99: 0.155371ms
 100: 0.142212ms
 101: 0.144455ms
 102: 0.153719ms
 103: 0.149739ms
 104: 0.155214ms
 105: 0.152995ms
 106: 0.158464ms
 107: 0.165631ms
 108: 0.158875ms
 109: 0.165229ms
 110: 0.153168ms
 111: 0.154655ms
 112: 0.154598ms
 113: 0.155170ms
 114: 0.157392ms
 115: 0.166167ms
 116: 0.145095ms
 117: 0.156477ms
 118: 0.158700ms
 119: 0.158368ms
 120: 0.154409ms
 121: 0.149065ms
 122: 0.155691ms
 123: 0.154882ms
 124: 0.155372ms
 125: 0.164734ms
 126: 0.150381ms
 127: 0.158887ms
 128: 0.157556ms
 129: 0.156303ms
 130: 0.152155ms
 131: 0.155558ms
 132: 0.151637ms
 133: 0.147401ms
 134: 0.150738ms
 135: 0.158686ms
 136: 0.164849ms
 137: 0.153985ms
 138: 0.148929ms
 139: 0.163723ms
 140: 0.158666ms
 141: 0.165151ms
 142: 0.164452ms
 143: 0.165559ms
 144: 0.148101ms
 145: 0.150654ms
 146: 0.154230ms
 147: 0.153388ms
 148: 0.154485ms
 149: 0.150935ms
 150: 0.151300ms
 151: 0.157080ms
 152: 0.165060ms
 153: 0.152434ms
 154: 0.162516ms
 155: 0.152077ms
 156: 0.150333ms
 157: 0.154505ms
 158: 0.164471ms
 159: 0.159542ms
 160: 0.161567ms
 161: 0.155665ms
 162: 0.156976ms
 163: 0.153647ms
 164: 0.132776ms
 165: 0.145987ms
 166: 0.158207ms
 167: 0.148344ms
 168: 0.154851ms
 169: 0.158703ms
 170: 0.149517ms
 171: 0.157365ms
 172: 0.163294ms
 173: 0.152762ms
 174: 0.146360ms
 175: 0.152926ms
 176: 0.160786ms
 177: 0.159521ms
 178: 0.157744ms
 179: 0.155458ms
 180: 0.150562ms
 181: 0.146840ms
 182: 0.159038ms
 183: 0.161856ms
 184: 0.145555ms
 185: 0.155521ms
 186: 0.165429ms
 187: 0.154761ms
 188: 0.147731ms
 189: 0.169697ms
 190: 0.158681ms
 191: 0.145801ms
 192: 0.151696ms
 193: 0.152111ms
 194: 0.155377ms
 195: 0.160371ms
 196: 0.157846ms
 197: 0.149771ms
 198: 0.158990ms
 199: 0.168252ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 64^3
Threads             : 16
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.236575 ms
Runtime per batch   : 0.236575 ms
SD                  : 1.011554 ms
Q1                  : 0.147845 ms
Median              : 0.154197 ms
Q3                  : 0.158686 ms
