Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,256³,245.0202,1.32
2,256³,129.0199,2.52
3,256³,91.7503,3.54
4,256³,65.4351,4.95
5,256³,53.6546,5.99
6,256³,54.9762,5.88
7,256³,39.2435,8.25
8,256³,35.7613,9.05
9,256³,32.1404,10.06
10,256³,32.8915,9.93
11,256³,27.6214,11.72
12,256³,27.3105,11.84
13,256³,26.3794,12.26
14,256³,24.3342,13.28
15,256³,22.9770,14.20
16,256³,23.9313,13.53
17,256³,22.0388,14.69
18,256³,22.6220,14.39
19,256³,20.5872,15.76
20,256³,21.8166,15.63
21,256³,20.4381,15.93
22,256³,20.2536,15.85
23,256³,19.7657,16.47
24,256³,21.5499,15.13
25,256³,19.4517,16.64
26,256³,19.3314,16.75
27,256³,19.1468,16.90
28,256³,19.9589,16.11
29,256³,18.5649,17.36
30,256³,19.0551,17.03
31,256³,21.5686,15.82
32,256³,20.4799,15.81
33,256³,19.3627,16.58
34,256³,18.0153,17.96
35,256³,19.3594,16.72
36,256³,20.0073,16.18
37,256³,19.8839,16.15
38,256³,20.7328,15.63
39,256³,21.2056,15.22
40,256³,20.2128,15.98
