Expm 1: Only FFT
N=512, dim=3, Num: 134217728

Printing individual runtimes:
 0: 291.199182ms
 1: 183.995121ms
 2: 144.103180ms
 3: 130.130608ms
 4: 130.155174ms
 5: 133.743457ms
 6: 127.593432ms
 7: 133.169544ms
 8: 130.021725ms
 9: 131.684993ms
 10: 134.613667ms
 11: 141.594207ms
 12: 135.368888ms
 13: 133.691128ms
 14: 136.044232ms
 15: 121.614888ms
 16: 129.899614ms
 17: 127.722446ms
 18: 120.022123ms
 19: 123.670843ms
 20: 125.935424ms
 21: 135.167886ms
 22: 123.472863ms
 23: 131.566515ms
 24: 131.515706ms
 25: 138.428996ms
 26: 133.624502ms
 27: 131.491293ms
 28: 126.573530ms
 29: 126.956964ms
 30: 128.030371ms
 31: 122.445125ms
 32: 128.326979ms
 33: 134.257445ms
 34: 132.369847ms
 35: 129.682666ms
 36: 128.202741ms
 37: 122.815474ms
 38: 128.131506ms
 39: 133.620164ms
 40: 119.214479ms
 41: 131.903353ms
 42: 125.319861ms
 43: 133.121610ms
 44: 132.230482ms
 45: 120.654142ms
 46: 126.413581ms
 47: 125.208882ms
 48: 123.618022ms
 49: 128.697497ms
 50: 120.710010ms
 51: 128.711210ms
 52: 131.792358ms
 53: 134.973529ms
 54: 127.563524ms
 55: 127.073227ms
 56: 126.173378ms
 57: 130.346932ms
 58: 124.494831ms
 59: 139.017907ms
 60: 125.304204ms
 61: 127.744496ms
 62: 134.205914ms
 63: 131.524931ms
 64: 124.262836ms
 65: 128.464041ms
 66: 125.224819ms
 67: 119.869750ms
 68: 141.819761ms
 69: 122.203375ms
 70: 124.862906ms
 71: 121.882293ms
 72: 132.122979ms
 73: 125.000415ms
 74: 137.448886ms
 75: 120.883243ms
 76: 135.584429ms
 77: 131.622213ms
 78: 124.594426ms
 79: 119.987394ms
 80: 125.810476ms
 81: 130.634938ms
 82: 122.861960ms
 83: 123.587634ms
 84: 133.437942ms
 85: 127.177634ms
 86: 122.298805ms
 87: 127.616709ms
 88: 125.783376ms
 89: 126.591746ms
 90: 125.792450ms
 91: 123.696074ms
 92: 131.517113ms
 93: 131.513393ms
 94: 125.453403ms
 95: 130.800608ms
 96: 128.417122ms
 97: 123.490947ms
 98: 136.875794ms
 99: 128.506106ms
 100: 133.519292ms
 101: 138.881606ms
 102: 134.048771ms
 103: 131.827406ms
 104: 130.609236ms
 105: 125.537862ms
 106: 127.828404ms
 107: 127.633067ms
 108: 131.519982ms
 109: 124.644155ms
 110: 116.169472ms
 111: 122.103187ms
 112: 116.928927ms
 113: 122.042194ms
 114: 119.915113ms
 115: 117.073560ms
 116: 117.304190ms
 117: 114.050459ms
 118: 118.410624ms
 119: 115.496821ms
 120: 120.416686ms
 121: 121.266634ms
 122: 120.446318ms
 123: 115.397297ms
 124: 117.454465ms
 125: 117.043221ms
 126: 120.268934ms
 127: 124.311154ms
 128: 114.520993ms
 129: 119.366319ms
 130: 120.551974ms
 131: 122.044695ms
 132: 126.456273ms
 133: 118.133906ms
 134: 113.502001ms
 135: 122.758887ms
 136: 123.588472ms
 137: 119.455292ms
 138: 117.697226ms
 139: 120.805934ms
 140: 118.720828ms
 141: 121.119558ms
 142: 122.576654ms
 143: 131.110394ms
 144: 128.944110ms
 145: 116.897468ms
 146: 122.624181ms
 147: 116.258142ms
 148: 123.997461ms
 149: 127.747985ms
 150: 126.545617ms
 151: 127.307511ms
 152: 123.424805ms
 153: 126.059714ms
 154: 127.184717ms
 155: 125.264808ms
 156: 124.595538ms
 157: 125.615877ms
 158: 122.696163ms
 159: 117.475826ms
 160: 124.690138ms
 161: 122.975045ms
 162: 115.140885ms
 163: 123.365738ms
 164: 123.476197ms
 165: 125.883570ms
 166: 125.407859ms
 167: 118.995473ms
 168: 117.099742ms
 169: 124.213029ms
 170: 122.597658ms
 171: 118.980537ms
 172: 128.168399ms
 173: 119.799633ms
 174: 123.162084ms
 175: 119.161719ms
 176: 118.922232ms
 177: 123.552424ms
 178: 126.335202ms
 179: 128.081584ms
 180: 120.721183ms
 181: 126.776997ms
 182: 121.201858ms
 183: 177.028001ms
 184: 154.506092ms
 185: 166.982301ms
 186: 154.498808ms
 187: 157.594836ms
 188: 164.289383ms
 189: 162.584660ms
 190: 159.927990ms
 191: 175.481751ms
 192: 164.521025ms
 193: 176.814716ms
 194: 155.958120ms
 195: 157.905773ms
 196: 159.855861ms
 197: 153.811487ms
 198: 164.203576ms
 199: 169.992482ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 512^3
Threads             : 30
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 130.241176 ms
Runtime per batch   : 130.241176 ms
SD                  : 17.053830 ms
Q1                  : 122.103187 ms
Median              : 125.811232 ms
Q3                  : 131.684993 ms
