Expm 1: Only FFT
N=512, dim=3, Num: 134217728

Printing individual runtimes:
 0: 282.612915ms
 1: 247.494863ms
 2: 177.199481ms
 3: 174.641688ms
 4: 188.766045ms
 5: 169.330203ms
 6: 164.791686ms
 7: 169.753993ms
 8: 168.116144ms
 9: 183.316897ms
 10: 159.162336ms
 11: 155.506819ms
 12: 150.878720ms
 13: 139.909152ms
 14: 137.782606ms
 15: 131.412823ms
 16: 136.892830ms
 17: 135.217551ms
 18: 136.862527ms
 19: 139.472979ms
 20: 136.193697ms
 21: 164.874318ms
 22: 168.447587ms
 23: 166.477104ms
 24: 168.294960ms
 25: 160.994355ms
 26: 175.772538ms
 27: 176.199233ms
 28: 166.339659ms
 29: 174.841241ms
 30: 171.840808ms
 31: 167.616729ms
 32: 173.328576ms
 33: 164.988598ms
 34: 162.821186ms
 35: 175.163425ms
 36: 183.426565ms
 37: 187.288255ms
 38: 184.256340ms
 39: 182.920250ms
 40: 191.897545ms
 41: 185.749736ms
 42: 185.101859ms
 43: 182.209194ms
 44: 183.899426ms
 45: 187.046695ms
 46: 185.768645ms
 47: 189.919364ms
 48: 188.141406ms
 49: 192.452576ms
 50: 182.381536ms
 51: 192.684704ms
 52: 189.069268ms
 53: 190.799969ms
 54: 184.453755ms
 55: 187.179797ms
 56: 193.245284ms
 57: 190.431721ms
 58: 187.212610ms
 59: 204.028429ms
 60: 205.362390ms
 61: 216.275880ms
 62: 208.543544ms
 63: 202.224417ms
 64: 203.791871ms
 65: 210.170676ms
 66: 199.823792ms
 67: 208.913099ms
 68: 196.866226ms
 69: 210.838246ms
 70: 203.031831ms
 71: 211.768341ms
 72: 194.141453ms
 73: 206.128986ms
 74: 205.451876ms
 75: 207.514871ms
 76: 209.494954ms
 77: 210.861313ms
 78: 166.846599ms
 79: 177.965559ms
 80: 163.615285ms
 81: 182.449466ms
 82: 174.535066ms
 83: 166.942552ms
 84: 173.019558ms
 85: 170.928817ms
 86: 180.807013ms
 87: 174.235832ms
 88: 175.428063ms
 89: 174.022552ms
 90: 174.366515ms
 91: 187.395688ms
 92: 192.761569ms
 93: 200.339247ms
 94: 191.865446ms
 95: 194.420629ms
 96: 193.917785ms
 97: 186.953380ms
 98: 186.320410ms
 99: 188.399937ms
 100: 185.881833ms
 101: 192.246345ms
 102: 185.027021ms
 103: 189.046376ms
 104: 191.519429ms
 105: 193.025204ms
 106: 194.521061ms
 107: 189.883993ms
 108: 205.759947ms
 109: 193.288254ms
 110: 195.684766ms
 111: 186.784688ms
 112: 187.316784ms
 113: 191.103940ms
 114: 190.548605ms
 115: 191.282246ms
 116: 185.857480ms
 117: 189.301499ms
 118: 198.094963ms
 119: 195.429016ms
 120: 204.519597ms
 121: 190.371654ms
 122: 171.884844ms
 123: 175.040518ms
 124: 171.566957ms
 125: 179.683247ms
 126: 179.773587ms
 127: 192.152044ms
 128: 168.772442ms
 129: 177.936617ms
 130: 172.046015ms
 131: 175.775340ms
 132: 178.358555ms
 133: 174.703465ms
 134: 186.288522ms
 135: 179.025380ms
 136: 181.568966ms
 137: 175.199238ms
 138: 174.342129ms
 139: 181.532438ms
 140: 181.322235ms
 141: 182.415737ms
 142: 171.650042ms
 143: 183.892124ms
 144: 183.450089ms
 145: 180.902910ms
 146: 178.423672ms
 147: 177.077830ms
 148: 180.900245ms
 149: 184.869285ms
 150: 177.338551ms
 151: 172.611862ms
 152: 172.861336ms
 153: 177.112052ms
 154: 179.435833ms
 155: 182.659312ms
 156: 175.460090ms
 157: 186.973993ms
 158: 179.958148ms
 159: 173.067050ms
 160: 180.046287ms
 161: 189.453489ms
 162: 182.573747ms
 163: 160.733070ms
 164: 166.596498ms
 165: 175.127884ms
 166: 182.889306ms
 167: 175.569973ms
 168: 191.211970ms
 169: 180.468484ms
 170: 192.560959ms
 171: 178.922140ms
 172: 179.269223ms
 173: 175.659556ms
 174: 187.102934ms
 175: 186.539471ms
 176: 176.599120ms
 177: 180.949800ms
 178: 180.911009ms
 179: 180.397522ms
 180: 178.307005ms
 181: 181.402868ms
 182: 180.095313ms
 183: 188.031657ms
 184: 182.338077ms
 185: 190.327789ms
 186: 174.339582ms
 187: 187.943311ms
 188: 180.392900ms
 189: 194.551479ms
 190: 184.333736ms
 191: 182.805263ms
 192: 184.213872ms
 193: 176.424063ms
 194: 186.670758ms
 195: 182.720752ms
 196: 177.087974ms
 197: 180.125922ms
 198: 178.349874ms
 199: 180.468332ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 512^3
Threads             : 13
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 182.413312 ms
Runtime per batch   : 182.413312 ms
SD                  : 16.943289 ms
Q1                  : 174.841241 ms
Median              : 182.312466 ms
Q3                  : 190.327789 ms
