Expm 1: Only FFT
N=512, dim=3, Num: 134217728

Printing individual runtimes:
 0: 569.232268ms
 1: 504.627137ms
 2: 450.984652ms
 3: 456.280948ms
 4: 442.198280ms
 5: 441.194018ms
 6: 442.643584ms
 7: 444.907835ms
 8: 444.588285ms
 9: 475.337187ms
 10: 472.170489ms
 11: 485.762720ms
 12: 483.358563ms
 13: 427.008351ms
 14: 470.315894ms
 15: 469.928874ms
 16: 464.635807ms
 17: 456.428139ms
 18: 461.127162ms
 19: 453.237922ms
 20: 467.760531ms
 21: 467.698385ms
 22: 470.878771ms
 23: 451.043642ms
 24: 452.418089ms
 25: 452.183943ms
 26: 452.240904ms
 27: 454.270263ms
 28: 452.135755ms
 29: 445.113479ms
 30: 451.491916ms
 31: 453.061571ms
 32: 454.637663ms
 33: 453.344822ms
 34: 452.365086ms
 35: 454.115433ms
 36: 452.458985ms
 37: 434.930887ms
 38: 456.425348ms
 39: 452.143749ms
 40: 433.161342ms
 41: 452.161155ms
 42: 452.432958ms
 43: 454.025160ms
 44: 451.176844ms
 45: 454.016917ms
 46: 453.148557ms
 47: 452.129142ms
 48: 455.411845ms
 49: 452.959264ms
 50: 454.484887ms
 51: 448.936364ms
 52: 453.547742ms
 53: 450.452634ms
 54: 453.212706ms
 55: 450.698380ms
 56: 449.746897ms
 57: 452.872678ms
 58: 451.893899ms
 59: 461.565093ms
 60: 445.776804ms
 61: 448.646693ms
 62: 452.861230ms
 63: 451.888281ms
 64: 449.810194ms
 65: 456.822587ms
 66: 452.811632ms
 67: 449.419093ms
 68: 461.461954ms
 69: 453.118733ms
 70: 447.355298ms
 71: 451.543657ms
 72: 459.153552ms
 73: 463.767148ms
 74: 443.598112ms
 75: 455.390198ms
 76: 456.110878ms
 77: 458.189572ms
 78: 463.021065ms
 79: 455.343004ms
 80: 458.897053ms
 81: 450.549876ms
 82: 448.270051ms
 83: 461.027205ms
 84: 456.792480ms
 85: 458.268724ms
 86: 456.208024ms
 87: 454.916713ms
 88: 416.097680ms
 89: 406.405836ms
 90: 417.501996ms
 91: 428.054815ms
 92: 431.581461ms
 93: 431.169123ms
 94: 439.352867ms
 95: 424.874221ms
 96: 410.035491ms
 97: 419.939935ms
 98: 416.500151ms
 99: 405.307231ms
 100: 412.676999ms
 101: 423.329231ms
 102: 417.115287ms
 103: 403.909469ms
 104: 411.596929ms
 105: 419.385308ms
 106: 418.879023ms
 107: 418.779018ms
 108: 414.028847ms
 109: 403.001524ms
 110: 413.893927ms
 111: 415.924814ms
 112: 415.127334ms
 113: 413.833818ms
 114: 409.310004ms
 115: 411.529902ms
 116: 414.604679ms
 117: 414.775207ms
 118: 418.042090ms
 119: 417.120935ms
 120: 411.631589ms
 121: 416.710852ms
 122: 416.647133ms
 123: 416.791523ms
 124: 416.060641ms
 125: 417.637363ms
 126: 414.147128ms
 127: 418.237622ms
 128: 514.170068ms
 129: 522.333223ms
 130: 495.768603ms
 131: 519.727034ms
 132: 554.058109ms
 133: 547.138406ms
 134: 471.464417ms
 135: 543.215044ms
 136: 544.116833ms
 137: 471.110453ms
 138: 454.895842ms
 139: 470.250201ms
 140: 471.401799ms
 141: 517.836382ms
 142: 456.185998ms
 143: 469.321297ms
 144: 488.171977ms
 145: 481.704439ms
 146: 511.196988ms
 147: 527.834442ms
 148: 532.034145ms
 149: 471.168069ms
 150: 499.692738ms
 151: 546.757686ms
 152: 490.907895ms
 153: 553.361958ms
 154: 484.010651ms
 155: 561.335789ms
 156: 543.562250ms
 157: 546.559725ms
 158: 566.267612ms
 159: 465.234213ms
 160: 456.284264ms
 161: 464.132848ms
 162: 505.951741ms
 163: 508.424429ms
 164: 448.735581ms
 165: 496.989214ms
 166: 429.230342ms
 167: 505.402237ms
 168: 469.975980ms
 169: 506.192265ms
 170: 504.013607ms
 171: 496.208783ms
 172: 495.857938ms
 173: 493.487109ms
 174: 467.050628ms
 175: 499.131543ms
 176: 506.119311ms
 177: 506.874034ms
 178: 504.286501ms
 179: 502.991532ms
 180: 506.941711ms
 181: 505.769817ms
 182: 499.253274ms
 183: 419.703941ms
 184: 504.314281ms
 185: 507.931060ms
 186: 501.685426ms
 187: 498.843485ms
 188: 502.230583ms
 189: 470.984659ms
 190: 498.062656ms
 191: 434.315783ms
 192: 506.937795ms
 193: 413.930747ms
 194: 438.992915ms
 195: 447.262226ms
 196: 449.965831ms
 197: 447.342118ms
 198: 446.867141ms
 199: 447.370505ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 512^3
Threads             : 4
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 461.630654 ms
Runtime per batch   : 461.630654 ms
SD                  : 36.550098 ms
Q1                  : 429.230342 ms
Median              : 453.782329 ms
Q3                  : 475.337187 ms
