Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,512³,13038.5566,0.41
2,512³,7221.2848,0.74
3,512³,4830.7961,1.10
4,512³,3612.1713,1.47
5,512³,3211.2196,1.65
6,512³,2506.5786,2.12
7,512³,2450.4983,2.17
8,512³,1960.7638,2.71
9,512³,2026.9405,2.62
10,512³,1965.4203,2.70
11,512³,1833.5129,2.90
12,512³,1752.8338,3.03
13,512³,1709.7703,3.11
14,512³,1718.8095,3.09
15,512³,1599.1713,3.32
16,512³,2567.1381,2.07
17,512³,1593.5024,3.33
18,512³,2026.3671,2.62
19,512³,1678.6811,3.16
20,512³,2750.6130,1.93
21,512³,2876.8611,1.85
22,512³,2577.8550,2.06
23,512³,2022.7670,2.63
24,512³,3676.7430,1.44
25,512³,1973.9018,2.69
