Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,512³,16266.7893,0.17
2,512³,8404.1355,0.33
3,512³,5577.8616,0.50
4,512³,4367.4910,0.64
5,512³,3531.7803,0.80
6,512³,3076.8712,0.91
7,512³,2639.5782,1.06
8,512³,2416.5917,1.16
9,512³,2109.1818,1.33
10,512³,2098.7428,1.34
11,512³,1832.2359,1.53
12,512³,1814.8426,1.55
13,512³,1710.8149,1.64
14,512³,1754.6627,1.60
15,512³,1586.6782,1.77
16,512³,1646.3977,1.71
17,512³,1507.3305,1.86
18,512³,1529.5260,1.84
19,512³,1416.2574,1.98
20,512³,1467.0010,1.92
21,512³,1692.3317,1.66
22,512³,1875.4126,1.50
23,512³,1921.7206,1.46
24,512³,2085.0137,1.35
25,512³,2088.9018,1.35
26,512³,2124.0076,1.32
27,512³,2211.2026,1.27
28,512³,2123.5108,1.32
29,512³,2028.9718,1.39
30,512³,2057.3798,1.37
31,512³,2067.2338,1.36
32,512³,2017.9508,1.39
33,512³,1775.0178,1.58
34,512³,1859.6708,1.51
35,512³,1832.7596,1.53
36,512³,1869.0757,1.50
37,512³,1840.3992,1.53
38,512³,1589.8308,1.77
39,512³,1767.3037,1.59
40,512³,1945.3388,1.44
