Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,128³,37.5328,1.66
2,128³,18.9822,3.28
3,128³,12.3729,5.04
4,128³,9.5313,6.54
5,128³,7.5633,8.24
6,128³,6.4707,9.63
7,128³,5.5261,11.28
8,128³,4.9122,12.69
9,128³,4.5090,13.82
10,128³,4.0148,15.52
11,128³,3.7099,16.80
12,128³,3.4140,18.26
13,128³,3.1182,19.99
14,128³,3.0451,20.47
15,128³,2.7736,22.47
16,128³,2.7007,23.08
17,128³,2.7220,22.90
18,128³,2.6276,23.72
19,128³,2.1826,28.56
20,128³,2.2118,28.18
21,128³,2.2872,27.25
22,128³,2.2109,28.19
23,128³,2.1207,29.39
24,128³,2.1030,29.64
25,128³,2.0878,29.85
26,128³,1.9539,31.90
27,128³,1.9554,31.87
28,128³,1.9154,32.54
29,128³,2.0273,30.74
30,128³,1.8496,33.70
31,128³,1.9843,31.41
32,128³,2.4052,25.91
33,128³,1.8371,33.93
34,128³,1.7372,35.88
35,128³,1.9668,31.69
36,128³,1.9427,32.08
37,128³,1.6672,37.38
38,128³,1.7623,35.37
39,128³,1.7957,34.71
40,128³,1.6957,36.75
