Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,64³,2.8961,2.24
2,64³,1.5062,4.31
3,64³,1.0569,6.14
4,64³,0.8135,7.98
5,64³,0.6569,9.88
6,64³,0.5670,11.44
7,64³,0.5066,12.81
8,64³,0.4397,14.76
9,64³,0.4188,15.49
10,64³,0.3767,17.22
11,64³,0.3376,19.22
12,64³,0.3264,19.88
13,64³,0.2958,21.93
14,64³,0.2862,22.67
15,64³,0.2790,23.26
16,64³,0.2546,25.48
17,64³,0.2698,24.05
18,64³,0.2568,25.26
19,64³,0.2371,27.36
20,64³,0.2324,27.92
21,64³,0.2412,26.89
22,64³,0.2276,28.50
23,64³,0.2305,28.15
24,64³,0.2666,24.34
25,64³,0.2315,28.03
26,64³,0.2380,27.26
27,64³,0.2695,24.08
28,64³,0.2573,25.21
29,64³,0.2368,27.40
30,64³,0.2423,26.77
31,64³,0.2471,26.25
32,64³,0.2693,24.10
33,64³,0.2274,28.54
34,64³,0.2304,28.17
35,64³,0.2192,29.60
36,64³,0.2366,27.42
37,64³,0.2264,28.66
38,64³,0.2311,28.07
39,64³,0.5135,12.64
40,64³,1.1666,5.56
