Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,64³,1.3003,2.49
2,64³,0.6797,4.77
3,64³,0.5215,6.22
4,64³,0.4128,7.86
5,64³,0.3383,9.59
6,64³,0.3081,10.53
7,64³,0.2639,12.29
8,64³,0.2275,14.26
9,64³,0.2177,14.90
10,64³,0.1987,16.33
11,64³,0.1923,16.86
12,64³,0.1805,17.97
13,64³,0.1612,20.12
14,64³,0.1701,19.05
15,64³,0.1584,20.48
16,64³,0.1441,22.51
17,64³,0.1541,21.02
18,64³,0.1438,22.56
19,64³,0.1415,22.92
20,64³,0.1483,21.83
21,64³,0.2141,15.16
22,64³,0.4176,7.75
23,64³,0.1496,21.65
24,64³,0.1503,21.54
25,64³,0.1449,22.39
26,64³,0.1454,22.32
27,64³,0.1468,22.10
28,64³,0.1469,22.03
29,64³,0.1462,22.18
30,64³,0.1488,21.75
31,64³,0.1530,21.15
32,64³,0.1661,19.53
33,64³,0.1584,20.42
34,64³,0.1591,20.34
35,64³,0.1570,20.66
36,64³,0.1600,20.28
37,64³,0.1560,20.73
38,64³,0.1553,20.89
39,64³,0.1588,20.42
40,64³,0.1656,19.53
