Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,32³,0.2020,3.22
2,32³,0.1161,5.61
3,32³,0.0838,7.77
4,32³,0.0688,9.47
5,32³,0.0614,10.61
6,32³,0.0578,11.27
7,32³,0.0543,12.00
8,32³,0.0555,11.74
9,32³,0.0547,11.91
10,32³,0.0540,12.06
11,32³,0.0537,12.12
12,32³,0.0546,11.92
13,32³,0.0541,12.03
14,32³,0.0532,12.23
15,32³,0.0545,11.95
16,32³,0.0539,12.09
17,32³,0.0562,11.58
18,32³,0.0561,11.62
19,32³,0.0571,11.41
20,32³,0.0568,11.46
21,32³,0.0650,10.03
22,32³,0.0634,10.26
23,32³,0.0607,10.73
24,32³,0.0635,10.26
25,32³,0.0655,9.95
26,32³,0.0644,10.11
27,32³,0.0615,10.59
28,32³,0.0769,8.47
29,32³,0.0679,9.60
30,32³,0.0676,9.63
31,32³,0.0680,9.58
32,32³,0.0684,9.53
33,32³,0.0761,8.56
34,32³,0.0780,8.35
35,32³,0.0739,8.82
36,32³,0.0754,8.64
37,32³,0.0800,8.14
38,32³,0.0753,8.65
39,32³,0.0819,7.95
40,32³,0.0783,8.32
