Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,128³,17.3901,1.79
2,128³,8.7604,3.56
3,128³,5.9075,5.28
4,128³,4.4004,7.08
5,128³,3.8403,8.11
6,128³,3.2898,9.47
7,128³,2.8358,10.99
8,128³,2.2894,13.61
9,128³,2.2547,13.82
10,128³,2.0348,15.31
11,128³,1.7575,17.73
12,128³,1.6115,19.34
13,128³,1.6171,19.27
14,128³,1.5618,19.95
15,128³,1.4488,21.50
16,128³,1.2575,24.78
17,128³,1.2172,25.60
18,128³,1.2960,24.04
19,128³,1.1872,26.24
20,128³,1.0822,28.80
21,128³,1.1712,26.60
22,128³,1.1944,26.08
23,128³,1.3078,23.82
24,128³,1.3345,23.34
25,128³,1.3080,23.82
26,128³,1.1657,26.72
27,128³,1.1743,26.52
28,128³,1.1259,27.68
29,128³,1.1974,26.01
30,128³,1.1547,26.97
31,128³,1.1396,27.33
32,128³,1.6007,19.47
33,128³,0.9732,32.00
34,128³,0.9372,33.25
35,128³,1.0127,30.75
36,128³,0.9271,33.61
37,128³,0.9581,32.50
38,128³,0.9544,32.65
39,128³,0.9988,31.17
40,128³,1.0320,30.20
