Expm 1: Only FFT
N=512, dim=3, Num: 134217728

Printing individual runtimes:
 0: 225.975194ms
 1: 240.307788ms
 2: 228.281709ms
 3: 237.115873ms
 4: 209.644819ms
 5: 209.476222ms
 6: 239.031072ms
 7: 216.932702ms
 8: 234.265746ms
 9: 240.780495ms
 10: 240.603613ms
 11: 225.851391ms
 12: 217.451879ms
 13: 215.633133ms
 14: 220.311798ms
 15: 211.689676ms
 16: 242.474353ms
 17: 250.370895ms
 18: 224.679286ms
 19: 228.676085ms
 20: 245.492641ms
 21: 231.587676ms
 22: 246.899888ms
 23: 238.334474ms
 24: 237.593650ms
 25: 244.488897ms
 26: 234.669462ms
 27: 218.985240ms
 28: 227.453766ms
 29: 240.362951ms
 30: 236.732333ms
 31: 252.583120ms
 32: 212.188471ms
 33: 227.215231ms
 34: 206.261341ms
 35: 240.119153ms
 36: 232.400589ms
 37: 231.140871ms
 38: 229.521931ms
 39: 222.484220ms
 40: 230.568268ms
 41: 240.108568ms
 42: 218.955110ms
 43: 218.863125ms
 44: 239.658163ms
 45: 208.529557ms
 46: 225.970994ms
 47: 225.157471ms
 48: 230.639650ms
 49: 231.776917ms
 50: 210.445322ms
 51: 218.919437ms
 52: 240.743699ms
 53: 216.805981ms
 54: 237.580007ms
 55: 226.908975ms
 56: 233.225416ms
 57: 219.853503ms
 58: 230.219555ms
 59: 231.995842ms
 60: 232.361018ms
 61: 236.868480ms
 62: 201.535930ms
 63: 217.111861ms
 64: 206.276660ms
 65: 226.697625ms
 66: 222.473811ms
 67: 256.300476ms
 68: 214.924501ms
 69: 217.650071ms
 70: 204.498133ms
 71: 238.298388ms
 72: 211.364932ms
 73: 236.572436ms
 74: 220.846470ms
 75: 223.058745ms
 76: 208.575277ms
 77: 235.549941ms
 78: 240.893200ms
 79: 240.373672ms
 80: 220.208171ms
 81: 237.413436ms
 82: 232.612077ms
 83: 217.547718ms
 84: 230.204686ms
 85: 239.234647ms
 86: 230.924147ms
 87: 217.229476ms
 88: 255.630155ms
 89: 217.338366ms
 90: 208.762077ms
 91: 243.389410ms
 92: 227.730583ms
 93: 219.725110ms
 94: 214.884869ms
 95: 231.941191ms
 96: 225.386897ms
 97: 243.947162ms
 98: 225.299737ms
 99: 241.203879ms
 100: 232.863818ms
 101: 245.572027ms
 102: 238.242435ms
 103: 217.453611ms
 104: 208.780640ms
 105: 226.349470ms
 106: 233.416910ms
 107: 225.916760ms
 108: 230.213712ms
 109: 239.272375ms
 110: 244.739375ms
 111: 233.029875ms
 112: 225.239396ms
 113: 252.646739ms
 114: 242.067780ms
 115: 215.438960ms
 116: 239.935049ms
 117: 207.346518ms
 118: 231.042822ms
 119: 226.881661ms
 120: 239.626859ms
 121: 221.799950ms
 122: 217.147346ms
 123: 236.108603ms
 124: 249.096789ms
 125: 233.201413ms
 126: 226.236422ms
 127: 232.812298ms
 128: 211.339571ms
 129: 234.456355ms
 130: 240.259103ms
 131: 247.775236ms
 132: 220.421670ms
 133: 233.489381ms
 134: 221.351148ms
 135: 225.331730ms
 136: 250.280882ms
 137: 243.298754ms
 138: 219.134623ms
 139: 222.764348ms
 140: 236.631280ms
 141: 225.509349ms
 142: 221.383965ms
 143: 217.578365ms
 144: 239.687409ms
 145: 221.977302ms
 146: 236.542637ms
 147: 216.757631ms
 148: 243.561742ms
 149: 207.196032ms
 150: 234.037353ms
 151: 217.500996ms
 152: 239.745906ms
 153: 232.131721ms
 154: 212.946448ms
 155: 217.926958ms
 156: 208.847341ms
 157: 215.749595ms
 158: 212.637298ms
 159: 243.011902ms
 160: 214.586370ms
 161: 232.558016ms
 162: 223.912758ms
 163: 256.681205ms
 164: 225.430595ms
 165: 244.292073ms
 166: 244.981008ms
 167: 236.646514ms
 168: 221.927708ms
 169: 208.232923ms
 170: 215.884398ms
 171: 221.432571ms
 172: 253.139320ms
 173: 237.881217ms
 174: 214.437460ms
 175: 218.792636ms
 176: 221.034674ms
 177: 209.888439ms
 178: 227.225286ms
 179: 216.179678ms
 180: 228.941097ms
 181: 211.160354ms
 182: 234.367571ms
 183: 226.551008ms
 184: 220.265446ms
 185: 220.030634ms
 186: 227.774588ms
 187: 260.122854ms
 188: 246.073183ms
 189: 212.822936ms
 190: 224.469506ms
 191: 224.565665ms
 192: 214.375522ms
 193: 240.495159ms
 194: 230.069252ms
 195: 234.159456ms
 196: 232.293609ms
 197: 217.518744ms
 198: 252.155359ms
 199: 220.221489ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 512^3
Threads             : 10
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 228.465813 ms
Runtime per batch   : 228.465813 ms
SD                  : 12.286833 ms
Q1                  : 217.650071 ms
Median              : 227.499937 ms
Q3                  : 237.413436 ms
