Processes,Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS),AvgTimetoTransfer(ms)
8,35,128³,1.6503,93.0024,1.4316
8,36,128³,1.6380,96.8607,1.4536
8,37,128³,1.6419,90.6485,1.4800
8,38,128³,1.6367,100.1401,1.4483
8,39,128³,3.2857,46.9166,1.4250
8,40,128³,6.0385,24.5636,1.4235
