Processes,Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS),AvgTimetoTransfer(ms)
8,35,1024³,1270.7819,100.4442,1102.0273
8,36,1024³,1254.1513,88.6310,1085.6641
8,37,1024³,1253.8302,88.8246,1086.2626
8,38,1024³,1269.2766,97.9209,1090.1019
8,39,1024³,1275.3783,89.5617,1088.4251
8,40,1024³,1268.2108,93.6201,1086.4305
