Processes,Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS),AvgTimetoTransfer(ms)
8,35,64³,0.4183,51.6188,0.3223
8,36,64³,0.3510,63.0621,0.3422
8,37,64³,0.6075,34.2274,0.3640
8,38,64³,0.3504,60.5782,0.3249
8,39,64³,0.3529,63.2194,0.3210
8,40,64³,0.3607,53.7968,0.3203
