Expm 1: Only FFT
N=63, dim=3, Num: 250047

Printing individual runtimes:
 0: 28.904110ms
 1: 21.134373ms
 2: 17.910143ms
 3: 0.175542ms
 4: 0.150740ms
 5: 0.172221ms
 6: 0.169902ms
 7: 0.156785ms
 8: 0.157677ms
 9: 0.151853ms
 10: 0.153487ms
 11: 0.143748ms
 12: 0.157138ms
 13: 0.146220ms
 14: 0.158379ms
 15: 0.158279ms
 16: 0.148638ms
 17: 0.155591ms
 18: 0.149500ms
 19: 0.142724ms
 20: 0.156981ms
 21: 0.151776ms
 22: 0.155537ms
 23: 0.153593ms
 24: 0.161643ms
 25: 0.161305ms
 26: 0.153265ms
 27: 0.160374ms
 28: 0.162334ms
 29: 0.162771ms
 30: 0.152083ms
 31: 0.155889ms
 32: 0.143681ms
 33: 0.143089ms
 34: 0.158463ms
 35: 0.150633ms
 36: 0.155653ms
 37: 0.155997ms
 38: 0.142530ms
 39: 0.163525ms
 40: 0.146546ms
 41: 0.173218ms
 42: 0.156079ms
 43: 0.155217ms
 44: 0.150185ms
 45: 0.159760ms
 46: 0.159296ms
 47: 0.160818ms
 48: 0.149663ms
 49: 0.143444ms
 50: 0.159105ms
 51: 0.172864ms
 52: 0.170689ms
 53: 0.158786ms
 54: 0.154806ms
 55: 0.171946ms
 56: 0.149727ms
 57: 0.157544ms
 58: 0.156598ms
 59: 0.150978ms
 60: 0.151353ms
 61: 0.156535ms
 62: 0.162361ms
 63: 0.154520ms
 64: 0.149471ms
 65: 0.183108ms
 66: 0.155873ms
 67: 0.156654ms
 68: 0.152945ms
 69: 0.157239ms
 70: 0.171008ms
 71: 0.156608ms
 72: 0.150542ms
 73: 0.160102ms
 74: 0.165571ms
 75: 0.169131ms
 76: 0.159272ms
 77: 0.160374ms
 78: 0.153549ms
 79: 0.144112ms
 80: 0.158267ms
 81: 0.157565ms
 82: 0.157779ms
 83: 0.149055ms
 84: 0.199107ms
 85: 0.435649ms
 86: 0.162352ms
 87: 0.153379ms
 88: 0.168938ms
 89: 0.149635ms
 90: 0.155203ms
 91: 0.149189ms
 92: 0.142610ms
 93: 0.175896ms
 94: 0.170650ms
 95: 0.170296ms
 96: 0.160579ms
 97: 0.163732ms
 98: 0.153779ms
 99: 0.158072ms
 100: 0.155519ms
 101: 0.171312ms
 102: 0.153779ms
 103: 0.171888ms
 104: 0.170573ms
 105: 0.158728ms
 106: 0.157269ms
 107: 0.158169ms
 108: 0.154470ms
 109: 0.162722ms
 110: 0.169149ms
 111: 0.159013ms
 112: 0.148167ms
 113: 0.163013ms
 114: 0.141254ms
 115: 0.147557ms
 116: 0.159476ms
 117: 0.164010ms
 118: 0.157271ms
 119: 0.156265ms
 120: 0.156468ms
 121: 0.158412ms
 122: 0.141139ms
 123: 0.147450ms
 124: 0.151827ms
 125: 0.169681ms
 126: 0.157826ms
 127: 0.178344ms
 128: 0.168445ms
 129: 0.158971ms
 130: 0.162011ms
 131: 0.157323ms
 132: 0.157265ms
 133: 0.150226ms
 134: 0.164001ms
 135: 0.147900ms
 136: 0.170165ms
 137: 0.155237ms
 138: 0.160187ms
 139: 0.173380ms
 140: 0.143084ms
 141: 0.172386ms
 142: 0.147279ms
 143: 0.173503ms
 144: 0.175034ms
 145: 0.157038ms
 146: 0.156457ms
 147: 0.155592ms
 148: 0.163019ms
 149: 0.147811ms
 150: 0.141165ms
 151: 0.175244ms
 152: 0.153759ms
 153: 0.152965ms
 154: 0.169990ms
 155: 0.171758ms
 156: 0.162052ms
 157: 0.141920ms
 158: 0.143034ms
 159: 0.155471ms
 160: 0.157939ms
 161: 0.152511ms
 162: 0.159992ms
 163: 0.163111ms
 164: 0.148311ms
 165: 0.156758ms
 166: 0.173486ms
 167: 0.140305ms
 168: 0.160585ms
 169: 0.156057ms
 170: 0.158594ms
 171: 0.178530ms
 172: 0.176245ms
 173: 0.153085ms
 174: 0.148361ms
 175: 0.142999ms
 176: 0.165455ms
 177: 0.177998ms
 178: 0.171584ms
 179: 0.162116ms
 180: 0.155970ms
 181: 0.154879ms
 182: 0.155366ms
 183: 0.153456ms
 184: 0.161322ms
 185: 0.158799ms
 186: 0.157950ms
 187: 0.161938ms
 188: 0.167298ms
 189: 0.149272ms
 190: 0.172476ms
 191: 0.159951ms
 192: 0.149008ms
 193: 0.162084ms
 194: 0.146190ms
 195: 0.148769ms
 196: 0.162318ms
 197: 0.141455ms
 198: 0.158874ms
 199: 0.156320ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 63^3
Threads             : 37
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.496898 ms
Runtime per batch   : 0.496898 ms
SD                  : 2.791603 ms
Q1                  : 0.152083 ms
Median              : 0.157297 ms
Q3                  : 0.162771 ms
