Threads,PlanTime(sec)
1,36.178506
2,104.665736
3,190.432154
4,145.265864
5,231.470635
6,225.196692
7,204.216109
8,173.226913
9,265.489424
10,249.259654
11,240.276660
12,261.207292
13,224.424246
14,252.009793
15,236.556182
16,195.106658
17,276.370805
18,283.189319
19,279.531715
20,286.086634
21,312.676393
22,267.215269
23,314.588138
24,320.562496
25,305.113237
26,300.261561
27,310.656507
28,322.388314
29,304.606569
30,312.860628
31,312.608186
32,262.528597
33,351.072120
34,353.286910
35,344.698835
36,346.464983
37,346.052356
38,348.765226
39,357.962952
40,382.270143
