Threads,PlanTime(sec)
1,8.089036
2,33.404058
3,80.468380
4,63.262664
5,116.004309
6,114.509776
7,105.878032
8,89.029189
9,150.070173
10,149.150114
11,134.676431
12,154.999215
13,147.146034
14,146.366205
15,140.757079
16,111.960968
17,177.782091
18,178.242698
19,175.486579
20,180.242634
21,197.165168
22,191.545787
23,198.646129
24,189.419395
25,196.728323
26,186.573983
27,190.596282
28,196.793604
29,191.296741
30,202.245766
31,185.636326
32,168.001704
33,250.523550
34,234.675225
35,246.144739
36,270.509718
37,238.217241
38,244.063930
39,260.183100
40,281.063604
