Threads,PlanTime(sec)
1,141.547877
2,367.931253
3,714.818571
4,489.584495
5,832.920363
6,820.594705
7,751.766747
8,619.824200
9,1007.435899
10,983.524028
11,971.645169
12,955.294773
13,904.924287
14,958.086939
15,836.783786
16,744.612081
17,1154.654904
18,1176.978465
19,1158.270288
20,1245.523242
21,1304.257946
22,1149.913546
23,1262.317413
24,1307.253818
25,1280.516003
26,1163.423192
27,1342.904641
28,1305.030098
29,1294.998499
30,1281.356997
31,1302.233514
32,1109.293946
33,1497.137294
34,1620.365255
35,1516.297244
36,1509.377871
37,1540.173057
38,1726.228395
39,1710.655443
40,1863.179994
