Threads,PlanTime(sec)
1,9.903128
2,33.538377
3,66.600751
4,51.914118
5,84.176633
6,83.128637
7,76.704897
8,64.038261
9,101.004920
10,95.717696
11,91.666366
12,95.814441
13,92.204950
14,92.833663
15,87.366912
16,73.088183
17,102.936439
18,106.057206
19,104.849416
20,107.419191
21,111.882601
22,121.093364
23,123.274781
24,111.830751
25,116.874238
26,114.439045
27,117.502911
28,115.295175
29,114.665638
30,117.033020
31,110.242713
32,98.850823
33,137.588079
34,133.093985
35,125.821385
36,126.010720
37,128.644712
38,141.672133
39,149.204019
40,149.793683
