Threads,PlanTime(sec)
1,2353.328277
2,5412.915707
3,8389.068845
4,4951.804063
5,6885.961650
6,6070.008255
7,5750.753321
8,1228.239577
9,999.455349
10,1089.884528
11,1027.844516
12,866.380482
13,963.049882
14,912.523433
15,856.675283
16,840.866856
17,804.653189
18,714.478745
19,791.632004
20,798.019758
21,922.797836
22,774.766257
23,824.520114
24,764.757738
25,867.967127
26,766.457758
27,818.968587
28,827.407248
29,749.511856
30,808.444718
31,821.457955
32,806.501991
33,720.711815
34,741.055132
35,741.909864
36,697.121574
37,738.794435
38,772.435540
39,774.559490
40,789.462005
