Threads,PlanTime(sec)
1,25.430892
2,89.631749
3,198.098272
4,155.422159
5,290.854101
6,290.708841
7,254.950989
8,225.177212
9,385.704321
10,354.253674
11,364.903987
12,376.309263
13,327.966103
14,371.590354
15,347.862349
16,290.970021
17,458.299687
18,450.246243
19,450.110325
20,467.858328
21,487.386113
22,478.232191
23,527.139725
24,561.036049
25,498.654276
26,490.082588
27,528.420333
28,520.994740
29,501.373014
30,542.548236
31,484.227622
32,412.906545
33,648.860555
34,652.428321
35,620.255661
36,613.741098
37,619.366364
38,670.041859
39,646.300520
40,706.625939
