Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,128³,10.9593,1.53
2,128³,5.5099,3.21
3,128³,3.8748,4.65
4,128³,2.9006,5.99
5,128³,2.7393,6.65
6,128³,2.0723,8.40
7,128³,1.7994,9.70
8,128³,1.4633,11.43
9,128³,1.4424,12.23
10,128³,1.4902,11.92
11,128³,1.2129,14.73
12,128³,1.0503,17.12
13,128³,1.2171,14.22
14,128³,1.0413,17.12
15,128³,0.9288,19.79
16,128³,0.8303,20.92
17,128³,0.8743,21.21
18,128³,0.8802,20.49
19,128³,0.7818,23.63
20,128³,0.8232,22.62
21,128³,0.8922,20.93
22,128³,0.7719,23.29
23,128³,0.7468,24.32
24,128³,0.7343,24.72
25,128³,0.7166,24.38
26,128³,0.7710,23.93
27,128³,0.7341,25.18
28,128³,0.6932,24.48
29,128³,0.7391,25.60
30,128³,0.7225,24.15
31,128³,0.7187,25.94
32,128³,0.7688,22.21
33,128³,0.7978,24.35
34,128³,0.7869,23.29
35,128³,0.7749,24.81
36,128³,0.7192,24.15
37,128³,0.7383,24.77
38,128³,0.7095,24.48
39,128³,0.8649,21.50
40,128³,0.7534,24.71
