Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,64³,1.9178,1.69
2,64³,0.9828,3.43
3,64³,0.7155,4.54
4,64³,0.5671,5.72
5,64³,0.4741,7.92
6,64³,0.4369,7.91
7,64³,0.3917,8.76
8,64³,0.3463,9.75
9,64³,0.3638,9.24
10,64³,0.3168,12.26
11,64³,0.5540,6.44
12,64³,0.2979,13.03
13,64³,0.2749,11.80
14,64³,0.2747,12.31
15,64³,0.2659,12.83
16,64³,0.2415,13.98
17,64³,0.2763,13.36
18,64³,0.2520,13.40
19,64³,0.2550,13.21
20,64³,0.2569,15.11
21,64³,0.2810,11.99
22,64³,0.2330,16.67
23,64³,0.2379,16.22
24,64³,0.2397,16.20
25,64³,0.2324,14.52
26,64³,0.2456,13.21
27,64³,0.2501,12.97
28,64³,0.2491,15.59
29,64³,0.2593,12.53
30,64³,0.2480,15.66
31,64³,0.2547,13.41
32,64³,0.5867,5.75
33,64³,0.2479,15.61
34,64³,0.2454,15.82
35,64³,0.2362,13.73
36,64³,0.2375,13.66
37,64³,0.2321,16.66
38,64³,0.2356,13.77
39,64³,0.2403,13.50
40,64³,0.2452,15.80
