Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,256³,251.1690,1.30
2,256³,125.4199,2.58
3,256³,90.9304,3.57
4,256³,65.6977,4.93
5,256³,53.9498,6.03
6,256³,56.1326,5.72
7,256³,39.5760,8.18
8,258³,188.7935,18.04
9,258³,166.2599,19.20
10,258³,149.4485,21.40
11,258³,140.8848,22.69
12,258³,123.4323,25.87
13,258³,119.0938,24.30
14,258³,108.0686,29.98
15,258³,101.4950,31.46
16,258³,93.9395,33.99
17,258³,92.4720,34.53
18,258³,85.2937,32.76
19,258³,82.0529,38.91
20,258³,75.8957,42.07
21,258³,77.2810,44.07
22,258³,80.0580,38.54
23,258³,71.5018,44.65
24,258³,66.0193,44.66
25,258³,63.6943,50.04
26,258³,66.9881,47.66
27,258³,69.7739,48.77
28,258³,57.6461,52.90
29,258³,65.5870,49.40
30,258³,54.0602,58.99
31,258³,56.6345,47.35
32,258³,61.7594,55.93
33,258³,58.4487,55.48
34,258³,51.6895,61.77
35,258³,48.4749,65.86
36,258³,46.5448,68.59
37,258³,46.6988,68.37
38,258³,51.3983,63.41
39,258³,44.5082,72.11
40,258³,44.1895,68.94
