Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,256³,118.0096,1.36
2,256³,61.9932,2.61
3,256³,49.8201,3.66
4,256³,31.9420,5.06
5,256³,27.3286,6.35
6,256³,28.1478,6.09
7,256³,20.0631,8.49
8,256³,16.7544,9.58
9,256³,15.6058,10.38
10,256³,15.4393,11.57
11,256³,13.4278,12.06
12,258³,103.3167,24.40
13,258³,95.0905,26.46
14,258³,88.4335,28.94
15,258³,82.0909,31.68
16,258³,79.4036,33.74
17,258³,74.0386,34.00
18,258³,69.2080,36.42
19,258³,63.9292,39.30
20,258³,62.3105,40.31
21,258³,60.0456,41.97
22,258³,56.0812,44.95
23,258³,55.3562,45.38
24,258³,52.2262,48.27
25,258³,54.0037,48.18
26,258³,47.9871,52.35
27,258³,47.5975,52.96
28,258³,46.8724,53.60
29,258³,43.3558,58.01
30,258³,42.9826,58.65
31,258³,41.7130,61.66
32,258³,40.9747,61.52
33,258³,38.8447,64.90
34,258³,42.8117,61.10
35,258³,37.6176,67.01
36,258³,37.5330,67.04
37,258³,34.3979,73.28
38,258³,33.4984,75.27
39,258³,35.4007,71.16
40,258³,34.1567,76.58
