Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,32³,0.1569,1.38
2,32³,0.0977,2.78
3,32³,0.0567,5.43
4,32³,0.0568,4.78
5,32³,0.0442,7.11
6,32³,0.0416,7.81
7,32³,0.0622,4.35
8,32³,0.0387,7.01
9,32³,0.0339,9.44
10,32³,0.0363,8.24
11,32³,0.0314,10.23
12,32³,0.0299,10.89
13,32³,0.0344,8.64
14,32³,0.0295,11.05
15,32³,0.0352,9.21
16,32³,0.0352,7.71
17,32³,0.0341,8.73
18,32³,0.0363,8.92
19,32³,0.0344,7.81
20,32³,0.0358,7.58
21,32³,0.0396,8.11
22,32³,0.0407,7.38
23,32³,0.0482,5.58
24,32³,0.0410,7.26
25,32³,0.0422,7.00
26,32³,0.0423,6.42
27,32³,0.0428,7.56
28,32³,0.0432,6.93
29,32³,0.0423,6.42
30,32³,0.0448,7.19
31,32³,0.0407,7.99
32,32³,0.0389,6.97
33,32³,0.0423,6.41
34,32³,0.0435,7.40
35,32³,0.0440,7.39
36,32³,0.0508,6.34
37,32³,0.0411,6.60
38,32³,0.0456,7.06
39,32³,0.0446,7.21
40,32³,0.0473,6.89
