Expm 1: Only FFT
N=128, dim=3, Num: 2097152

Printing individual runtimes:
 0: 2.024405ms
 1: 1.453711ms
 2: 1.455474ms
 3: 1.458486ms
 4: 1.471636ms
 5: 1.475918ms
 6: 1.477574ms
 7: 1.463155ms
 8: 1.467700ms
 9: 1.466183ms
 10: 1.440732ms
 11: 1.462268ms
 12: 1.949174ms
 13: 1.456579ms
 14: 1.470043ms
 15: 1.489527ms
 16: 1.477365ms
 17: 1.502105ms
 18: 1.492888ms
 19: 1.480259ms
 20: 1.481474ms
 21: 1.491428ms
 22: 1.511926ms
 23: 1.506813ms
 24: 1.483276ms
 25: 1.475283ms
 26: 1.483374ms
 27: 1.500743ms
 28: 1.488951ms
 29: 1.497689ms
 30: 1.486370ms
 31: 1.488625ms
 32: 1.494526ms
 33: 1.474416ms
 34: 1.479371ms
 35: 1.472266ms
 36: 1.482748ms
 37: 1.488610ms
 38: 1.466787ms
 39: 1.460162ms
 40: 1.482655ms
 41: 1.521515ms
 42: 1.511075ms
 43: 1.496207ms
 44: 1.464224ms
 45: 1.462277ms
 46: 1.488186ms
 47: 1.479520ms
 48: 1.465528ms
 49: 1.482275ms
 50: 1.457517ms
 51: 1.500090ms
 52: 1.512750ms
 53: 1.486583ms
 54: 1.525389ms
 55: 1.511882ms
 56: 1.511947ms
 57: 1.478864ms
 58: 1.475327ms
 59: 1.504698ms
 60: 1.471281ms
 61: 1.489663ms
 62: 1.483181ms
 63: 1.483277ms
 64: 1.479281ms
 65: 1.492206ms
 66: 1.474630ms
 67: 1.484408ms
 68: 1.481119ms
 69: 1.486966ms
 70: 1.515363ms
 71: 1.472921ms
 72: 1.493039ms
 73: 1.823031ms
 74: 1.529834ms
 75: 1.446513ms
 76: 1.449014ms
 77: 1.482293ms
 78: 1.482041ms
 79: 1.451548ms
 80: 1.457530ms
 81: 1.457098ms
 82: 1.466980ms
 83: 1.467607ms
 84: 1.466448ms
 85: 1.451670ms
 86: 1.464082ms
 87: 1.465379ms
 88: 1.468863ms
 89: 1.468619ms
 90: 1.456570ms
 91: 1.452025ms
 92: 1.469245ms
 93: 1.445007ms
 94: 1.812086ms
 95: 1.466624ms
 96: 1.454174ms
 97: 1.479155ms
 98: 1.484655ms
 99: 1.466744ms
 100: 1.470136ms
 101: 1.466470ms
 102: 1.467346ms
 103: 1.474683ms
 104: 1.503776ms
 105: 1.474663ms
 106: 1.476635ms
 107: 1.471825ms
 108: 1.520961ms
 109: 1.505004ms
 110: 1.528923ms
 111: 1.497934ms
 112: 1.780595ms
 113: 1.472969ms
 114: 1.491204ms
 115: 1.469423ms
 116: 1.474084ms
 117: 1.455405ms
 118: 1.467729ms
 119: 1.488284ms
 120: 1.490304ms
 121: 1.493266ms
 122: 1.474406ms
 123: 1.474190ms
 124: 1.466519ms
 125: 1.476111ms
 126: 1.485252ms
 127: 1.458985ms
 128: 1.485301ms
 129: 1.474227ms
 130: 1.468737ms
 131: 1.483469ms
 132: 1.466402ms
 133: 1.468315ms
 134: 1.466420ms
 135: 1.482923ms
 136: 1.466614ms
 137: 1.473586ms
 138: 1.452995ms
 139: 1.481396ms
 140: 1.456477ms
 141: 1.473426ms
 142: 1.468382ms
 143: 1.490993ms
 144: 1.476261ms
 145: 1.514134ms
 146: 1.473646ms
 147: 1.472790ms
 148: 1.501834ms
 149: 1.690405ms
 150: 1.504991ms
 151: 1.663077ms
 152: 1.405007ms
 153: 1.434334ms
 154: 1.422780ms
 155: 1.426573ms
 156: 1.445030ms
 157: 1.435312ms
 158: 1.432154ms
 159: 1.426010ms
 160: 1.429864ms
 161: 1.428032ms
 162: 1.417339ms
 163: 1.423898ms
 164: 1.425702ms
 165: 1.444256ms
 166: 1.452855ms
 167: 1.448137ms
 168: 1.451797ms
 169: 1.475040ms
 170: 1.454521ms
 171: 1.452777ms
 172: 1.476787ms
 173: 1.440666ms
 174: 1.446578ms
 175: 1.473357ms
 176: 1.441398ms
 177: 1.463442ms
 178: 1.467183ms
 179: 1.440831ms
 180: 1.461336ms
 181: 1.458940ms
 182: 1.466674ms
 183: 1.459237ms
 184: 1.441376ms
 185: 1.474946ms
 186: 1.461666ms
 187: 1.452980ms
 188: 1.455997ms
 189: 1.447985ms
 190: 1.446199ms
 191: 1.436248ms
 192: 1.452598ms
 193: 1.472401ms
 194: 1.444817ms
 195: 1.467095ms
 196: 1.452257ms
 197: 1.489970ms
 198: 1.447343ms
 199: 1.453404ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 128^3
Threads             : 8
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 1.483599 ms
Runtime per batch   : 1.483599 ms
SD                  : 0.071407 ms
Q1                  : 1.456579 ms
Median              : 1.472855 ms
Q3                  : 1.486370 ms
