Expm 1: Only FFT
N=128, dim=3, Num: 2097152

Printing individual runtimes:
 0: 2.402260ms
 1: 0.827229ms
 2: 0.873738ms
 3: 0.816229ms
 4: 0.857028ms
 5: 0.866084ms
 6: 0.844574ms
 7: 0.870207ms
 8: 0.895257ms
 9: 0.869848ms
 10: 0.858384ms
 11: 0.822284ms
 12: 3.378736ms
 13: 0.739749ms
 14: 0.754911ms
 15: 0.725615ms
 16: 0.734521ms
 17: 0.739129ms
 18: 0.767536ms
 19: 0.779245ms
 20: 0.766414ms
 21: 0.731751ms
 22: 0.784550ms
 23: 0.753081ms
 24: 0.747711ms
 25: 0.768423ms
 26: 0.753417ms
 27: 0.758693ms
 28: 0.745399ms
 29: 0.749134ms
 30: 0.770141ms
 31: 0.770433ms
 32: 0.758627ms
 33: 0.796347ms
 34: 0.738161ms
 35: 0.736154ms
 36: 0.767553ms
 37: 0.727204ms
 38: 0.751860ms
 39: 0.748440ms
 40: 0.754691ms
 41: 1.121917ms
 42: 0.755452ms
 43: 0.751953ms
 44: 0.740437ms
 45: 0.762506ms
 46: 0.720353ms
 47: 0.747905ms
 48: 0.760579ms
 49: 0.768194ms
 50: 0.776180ms
 51: 0.765672ms
 52: 0.767580ms
 53: 0.758923ms
 54: 0.808127ms
 55: 0.780785ms
 56: 0.780764ms
 57: 0.770179ms
 58: 0.744390ms
 59: 0.739356ms
 60: 0.757188ms
 61: 0.759758ms
 62: 0.740325ms
 63: 0.765091ms
 64: 0.736793ms
 65: 0.752644ms
 66: 0.752135ms
 67: 0.739955ms
 68: 0.752635ms
 69: 0.740481ms
 70: 0.756831ms
 71: 1.350547ms
 72: 0.698181ms
 73: 0.719111ms
 74: 0.701773ms
 75: 0.702245ms
 76: 0.721833ms
 77: 0.709660ms
 78: 0.716458ms
 79: 0.718767ms
 80: 0.728876ms
 81: 0.733070ms
 82: 0.712131ms
 83: 0.724399ms
 84: 0.729805ms
 85: 0.728241ms
 86: 0.731337ms
 87: 0.715515ms
 88: 0.716434ms
 89: 0.723127ms
 90: 0.727950ms
 91: 0.712614ms
 92: 0.713578ms
 93: 0.717180ms
 94: 0.721559ms
 95: 0.727891ms
 96: 0.703690ms
 97: 0.711381ms
 98: 0.715787ms
 99: 0.712561ms
 100: 0.716918ms
 101: 0.718849ms
 102: 0.727458ms
 103: 0.718286ms
 104: 0.719994ms
 105: 0.699617ms
 106: 0.719529ms
 107: 0.713327ms
 108: 0.726298ms
 109: 0.737099ms
 110: 0.726925ms
 111: 0.706200ms
 112: 0.705048ms
 113: 0.725622ms
 114: 0.722759ms
 115: 0.724403ms
 116: 0.713759ms
 117: 0.740430ms
 118: 0.729874ms
 119: 0.723155ms
 120: 0.716837ms
 121: 0.713739ms
 122: 0.726283ms
 123: 0.705691ms
 124: 0.704648ms
 125: 0.705060ms
 126: 0.718805ms
 127: 0.707468ms
 128: 0.724306ms
 129: 0.704943ms
 130: 0.719508ms
 131: 0.727351ms
 132: 1.073797ms
 133: 0.733608ms
 134: 0.712680ms
 135: 0.735832ms
 136: 0.732721ms
 137: 0.720297ms
 138: 0.710018ms
 139: 0.720265ms
 140: 0.720328ms
 141: 0.716541ms
 142: 0.731188ms
 143: 0.727225ms
 144: 0.719627ms
 145: 0.702306ms
 146: 0.706512ms
 147: 0.715685ms
 148: 0.717089ms
 149: 0.717246ms
 150: 0.731835ms
 151: 0.717131ms
 152: 0.711817ms
 153: 0.708116ms
 154: 0.708916ms
 155: 0.709759ms
 156: 0.736293ms
 157: 0.736942ms
 158: 0.703631ms
 159: 0.726135ms
 160: 0.724562ms
 161: 0.723103ms
 162: 0.727688ms
 163: 0.709738ms
 164: 0.730652ms
 165: 0.729060ms
 166: 0.744285ms
 167: 0.738707ms
 168: 0.701402ms
 169: 0.727826ms
 170: 0.718347ms
 171: 0.729420ms
 172: 0.711960ms
 173: 0.729964ms
 174: 0.728106ms
 175: 0.717079ms
 176: 0.726987ms
 177: 0.713796ms
 178: 0.718814ms
 179: 0.723602ms
 180: 0.720100ms
 181: 0.726007ms
 182: 0.720535ms
 183: 0.723866ms
 184: 0.723295ms
 185: 0.720881ms
 186: 0.707593ms
 187: 0.730532ms
 188: 0.710955ms
 189: 0.723462ms
 190: 0.724838ms
 191: 0.716884ms
 192: 0.732359ms
 193: 0.726806ms
 194: 0.721623ms
 195: 0.720994ms
 196: 0.712902ms
 197: 0.699070ms
 198: 0.731851ms
 199: 0.729631ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 128^3
Threads             : 27
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.766073 ms
Runtime per batch   : 0.766073 ms
SD                  : 0.228749 ms
Q1                  : 0.717131 ms
Median              : 0.727573 ms
Q3                  : 0.749134 ms
