Expm 1: Only FFT
N=128, dim=3, Num: 2097152

Printing individual runtimes:
 0: 2.162492ms
 1: 0.832908ms
 2: 0.869589ms
 3: 0.851729ms
 4: 0.846649ms
 5: 0.848836ms
 6: 0.830377ms
 7: 0.845846ms
 8: 0.841585ms
 9: 0.855546ms
 10: 0.837151ms
 11: 0.847894ms
 12: 3.869970ms
 13: 0.830199ms
 14: 0.846340ms
 15: 0.832753ms
 16: 0.847515ms
 17: 0.836623ms
 18: 0.838459ms
 19: 0.838987ms
 20: 0.841035ms
 21: 0.846094ms
 22: 0.860547ms
 23: 0.834201ms
 24: 0.832686ms
 25: 0.831441ms
 26: 0.847713ms
 27: 0.840294ms
 28: 0.844800ms
 29: 0.845663ms
 30: 0.854021ms
 31: 0.841523ms
 32: 0.840663ms
 33: 0.838077ms
 34: 0.853864ms
 35: 0.846318ms
 36: 0.859397ms
 37: 0.832232ms
 38: 0.906035ms
 39: 0.845052ms
 40: 0.844774ms
 41: 1.284857ms
 42: 0.834601ms
 43: 0.835178ms
 44: 0.848183ms
 45: 0.840209ms
 46: 0.846270ms
 47: 0.844363ms
 48: 0.831648ms
 49: 0.852210ms
 50: 0.869256ms
 51: 0.840355ms
 52: 0.856691ms
 53: 0.831312ms
 54: 0.837793ms
 55: 0.834612ms
 56: 0.838032ms
 57: 0.843564ms
 58: 0.861346ms
 59: 0.836806ms
 60: 0.840988ms
 61: 0.842887ms
 62: 0.842801ms
 63: 0.827495ms
 64: 0.844758ms
 65: 0.871854ms
 66: 0.845558ms
 67: 0.862932ms
 68: 0.842941ms
 69: 0.847713ms
 70: 0.834430ms
 71: 1.432376ms
 72: 0.845669ms
 73: 0.841329ms
 74: 0.840169ms
 75: 0.845501ms
 76: 0.829460ms
 77: 0.843070ms
 78: 0.835594ms
 79: 0.844534ms
 80: 0.835272ms
 81: 0.834471ms
 82: 0.825403ms
 83: 0.845813ms
 84: 0.844242ms
 85: 0.837721ms
 86: 0.844388ms
 87: 0.839271ms
 88: 0.833710ms
 89: 0.829797ms
 90: 0.841749ms
 91: 0.837362ms
 92: 0.843084ms
 93: 0.834222ms
 94: 0.835988ms
 95: 0.835147ms
 96: 0.838453ms
 97: 0.832551ms
 98: 0.830261ms
 99: 0.850182ms
 100: 0.852570ms
 101: 0.841484ms
 102: 0.829146ms
 103: 0.837944ms
 104: 0.852432ms
 105: 0.831631ms
 106: 0.835449ms
 107: 0.834737ms
 108: 0.836665ms
 109: 0.855962ms
 110: 0.849125ms
 111: 0.839527ms
 112: 0.830277ms
 113: 0.849854ms
 114: 0.845967ms
 115: 0.839206ms
 116: 0.849030ms
 117: 0.833569ms
 118: 0.836650ms
 119: 0.842305ms
 120: 0.828922ms
 121: 0.844706ms
 122: 0.829526ms
 123: 0.827753ms
 124: 0.842301ms
 125: 0.853644ms
 126: 0.828969ms
 127: 0.824792ms
 128: 0.835755ms
 129: 0.836038ms
 130: 0.832347ms
 131: 0.961842ms
 132: 0.827096ms
 133: 0.851015ms
 134: 0.844747ms
 135: 0.838609ms
 136: 0.831656ms
 137: 0.843156ms
 138: 0.833769ms
 139: 0.831942ms
 140: 0.845529ms
 141: 0.825681ms
 142: 0.826531ms
 143: 0.830081ms
 144: 0.853398ms
 145: 0.833736ms
 146: 0.824691ms
 147: 0.840404ms
 148: 0.834508ms
 149: 0.834805ms
 150: 0.841548ms
 151: 0.833848ms
 152: 0.827826ms
 153: 0.837084ms
 154: 0.844727ms
 155: 0.828816ms
 156: 0.847579ms
 157: 0.853245ms
 158: 0.842773ms
 159: 0.837471ms
 160: 0.837726ms
 161: 0.842275ms
 162: 0.843463ms
 163: 0.837684ms
 164: 0.839933ms
 165: 0.833332ms
 166: 0.832695ms
 167: 0.824608ms
 168: 0.827055ms
 169: 0.840437ms
 170: 0.846105ms
 171: 0.845680ms
 172: 0.833203ms
 173: 0.838811ms
 174: 0.842464ms
 175: 0.828069ms
 176: 0.848766ms
 177: 0.822765ms
 178: 0.842763ms
 179: 0.846307ms
 180: 0.839862ms
 181: 0.840570ms
 182: 0.854819ms
 183: 0.844731ms
 184: 0.842022ms
 185: 0.830086ms
 186: 0.845206ms
 187: 0.853045ms
 188: 0.829827ms
 189: 0.829545ms
 190: 0.835795ms
 191: 0.826834ms
 192: 0.868278ms
 193: 0.843239ms
 194: 0.836405ms
 195: 0.834247ms
 196: 0.834645ms
 197: 0.841191ms
 198: 0.846784ms
 199: 0.848420ms


-- Real : Q1: 50 Q2: 100 Q3: 150
-- Array: Q1: 49 Q2: 99 Q3: 149

Measurements
--------------------------
FFT Size            : 128^3
Threads             : 20
Batch               : 1
Iterations          : 200
Avg Tot Runtime     : 0.868362 ms
Runtime per batch   : 0.868362 ms
SD                  : 0.238254 ms
Q1                  : 0.834201 ms
Median              : 0.840420 ms
Q3                  : 0.845967 ms
