Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,32³,0.1290,2.10
2,32³,0.0754,3.60
3,32³,0.0575,5.35
4,32³,0.0532,5.10
5,32³,0.0437,7.20
6,32³,0.0391,8.31
7,32³,0.0649,4.17
8,32³,0.0374,7.25
9,32³,0.0333,9.59
10,32³,0.0366,8.17
11,32³,0.0299,10.76
12,32³,0.0289,11.25
13,32³,0.0456,5.33
14,32³,0.0298,10.91
15,32³,0.0351,9.23
16,32³,0.0391,5.55
17,32³,0.0455,5.35
18,32³,0.0466,5.78
19,32³,0.0429,5.00
20,32³,0.0360,7.53
21,32³,0.0411,7.82
22,32³,0.0407,7.38
23,32³,0.0398,8.13
24,32³,0.0414,7.18
25,32³,0.0413,7.15
26,32³,0.0398,6.82
27,32³,0.0421,7.69
28,32³,0.0428,6.99
29,32³,0.0404,6.72
30,32³,0.0445,7.24
31,32³,0.0407,7.99
32,32³,0.0408,6.65
33,32³,0.0393,6.90
34,32³,0.0444,7.25
35,32³,0.0442,7.37
36,32³,0.0457,7.04
37,32³,0.0403,6.74
38,32³,0.0460,6.99
39,32³,0.0469,6.86
40,32³,0.0442,7.36
