Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,128³,11.1174,1.54
2,128³,5.5155,3.15
3,128³,3.8448,4.69
4,128³,2.7770,6.15
5,128³,2.7911,6.43
6,128³,2.0372,9.18
7,128³,1.7939,10.28
8,128³,1.4937,11.63
9,128³,1.4508,11.92
10,128³,1.4935,12.32
11,128³,1.2061,15.34
12,128³,1.0457,16.87
13,128³,1.2016,14.48
14,128³,1.0102,17.94
15,128³,0.9322,19.35
16,128³,0.8839,19.80
17,128³,0.8701,20.98
18,128³,0.8694,21.14
19,128³,0.7721,23.48
20,128³,0.7914,23.96
21,128³,0.8760,21.32
22,128³,0.7649,24.34
23,128³,0.7124,26.30
24,128³,0.7397,25.00
25,128³,0.7145,23.91
26,128³,0.7337,24.69
27,128³,0.7336,23.85
28,128³,0.7275,24.20
29,128³,0.7311,25.87
30,128³,0.8743,21.06
31,128³,0.7110,25.73
32,128³,0.8124,21.38
33,128³,0.7733,24.82
34,128³,0.8063,23.09
35,128³,0.7627,24.82
36,128³,0.7588,23.34
37,128³,1.0691,16.83
38,128³,0.7429,23.38
39,128³,1.0242,17.53
40,128³,0.9292,20.04
