Threads,FFTSize,AvgRuntime(ms),Throughput(GFLOPS)
1,512³,1291.6030,1.14
2,512³,649.1191,2.26
3,512³,490.5116,3.10
4,512³,331.6837,4.44
5,512³,300.7083,5.23
6,512³,254.8696,6.45
7,512³,215.5755,7.79
8,512³,181.8530,8.11
9,512³,173.6193,8.43
10,512³,164.7012,9.58
11,512³,154.4884,9.47
12,512³,166.6010,9.76
13,512³,140.4983,11.25
14,512³,145.0111,10.94
15,512³,131.3177,12.53
16,512³,127.8353,11.77
17,512³,126.0868,12.10
18,512³,117.6214,12.78
19,512³,113.4616,14.04
20,512³,120.1096,13.25
21,512³,119.3507,12.37
22,512³,121.0898,12.43
23,512³,123.8476,13.26
24,512³,133.9660,14.42
25,512³,143.1038,11.74
26,512³,113.8405,13.42
27,512³,115.9653,12.69
28,512³,114.1185,13.32
29,512³,114.8521,13.77
30,512³,112.3221,13.54
31,512³,114.0074,13.38
32,512³,115.9182,12.98
33,512³,110.9803,13.23
34,512³,112.4191,13.53
35,512³,114.9578,13.64
36,512³,128.7853,11.56
37,512³,113.3939,14.07
38,512³,109.6298,13.88
39,512³,112.9095,13.05
40,512³,119.7498,13.20
