FFT,SizeTotal,Runtime(ms),AvgRuntime(ms),Throughput(GFLOPS)
fftw,256³,974.088473,974.088473,2.066820
fftw,256³,688.253609,688.253609,2.925180
fftw,256³,459.819795,459.819795,4.378380
fftw,256³,393.325435,393.325435,5.118575
fftw,256³,362.373706,362.373706,5.555773
fftw,256³,360.221634,360.221634,5.588964
fftw,256³,278.051119,278.051119,7.240632
fftw,256³,289.455076,289.455076,6.955366
fftw,256³,233.824456,233.824456,8.610160
fftw,256³,209.101743,209.101743,9.628164
fftw,256³,203.582912,203.582912,9.889169
fftw,256³,205.104121,205.104121,9.815824
fftw,256³,173.450969,173.450969,11.607118
fftw,256³,175.868635,175.868635,11.447555
fftw,256³,173.452723,173.452723,11.607001
fftw,256³,174.515392,174.515392,11.536323
fftw,256³,149.122476,149.122476,13.500754
fftw,256³,138.374882,138.374882,14.549360
fftw,256³,129.972144,129.972144,15.489980
fftw,256³,180.028153,180.028153,11.183062
fftw,256³,141.438357,141.438357,14.234229
fftw,256³,138.403995,138.403995,14.546299
fftw,256³,164.685528,164.685528,12.224911
fftw,256³,168.533088,168.533088,11.945820
fftw,256³,110.078004,110.078004,18.289448
fftw,256³,125.200469,125.200469,16.080338
fftw,256³,130.955458,130.955458,15.373669
fftw,256³,152.993892,152.993892,13.159126
fftw,256³,106.702457,106.702457,18.868037
fftw,256³,123.053125,123.053125,16.360949
fftw,256³,132.597829,132.597829,15.183250
fftw,256³,196.105379,196.105379,10.266245
fftw,256³,106.868408,106.868408,18.838738
fftw,256³,130.691308,130.691308,15.404742
fftw,256³,116.573805,116.573805,17.270311
fftw,256³,132.009635,132.009635,15.250901
fftw,256³,122.238147,122.238147,16.470030
fftw,256³,128.542131,128.542131,15.662304
fftw,256³,122.342411,122.342411,16.455993
fftw,256³,162.388693,162.388693,12.397821
