FFT,SizeTotal,Runtime(ms),AvgRuntime(ms),Throughput(GFLOPS)
fftw,16³,215.679158,0.021568,11.394703
fftw,16³,404.470111,0.040447,6.076098
fftw,16³,433.087202,0.043309,5.674608
fftw,16³,329.165967,0.032917,7.466142
fftw,16³,328.649117,0.032865,7.477884
fftw,16³,297.594933,0.029759,8.258205
fftw,16³,399.487624,0.039949,6.151880
fftw,16³,319.761948,0.031976,7.685718
fftw,16³,361.679093,0.036168,6.794974
fftw,16³,297.815557,0.029782,8.252087
fftw,16³,299.539117,0.029954,8.204605
fftw,16³,322.834544,0.032283,7.612568
fftw,16³,311.262058,0.031126,7.895598
fftw,16³,372.911716,0.037291,6.590300
fftw,16³,390.923778,0.039092,6.286648
fftw,16³,370.142677,0.037014,6.639602
fftw,16³,359.366156,0.035937,6.838707
fftw,16³,360.677624,0.036068,6.813841
fftw,16³,379.631226,0.037963,6.473651
fftw,16³,382.723460,0.038272,6.421347
fftw,16³,362.126531,0.036213,6.786578
fftw,16³,365.330924,0.036533,6.727052
fftw,16³,380.354587,0.038035,6.461339
fftw,16³,392.658428,0.039266,6.258875
fftw,16³,387.505523,0.038751,6.342103
fftw,16³,429.559869,0.042956,5.721205
fftw,16³,367.683148,0.036768,6.684016
fftw,16³,447.731470,0.044773,5.489004
fftw,16³,356.445064,0.035645,6.894751
fftw,16³,377.878472,0.037788,6.503678
fftw,16³,373.595142,0.037360,6.578244
fftw,16³,377.290123,0.037729,6.513820
fftw,16³,348.094121,0.034809,7.060159
fftw,16³,352.563161,0.035256,6.970666
fftw,16³,346.581489,0.034658,7.090973
fftw,16³,357.158320,0.035716,6.880982
fftw,16³,331.507708,0.033151,7.413402
fftw,16³,543.521568,0.054352,4.521624
fftw,16³,423.304100,0.042330,5.805755
fftw,16³,437.478652,0.043748,5.617646
