FFTSize,TotalRuntime(ms),AvgRuntime(ms),Throughput(GFLOPS)
128³,389.6431,38.9643,5.6514
128³,197.3073,19.7307,11.1603
128³,130.5843,13.0584,16.8627
128³,105.0016,10.5002,20.9712
128³,78.9106,7.8911,27.9051
128³,69.0221,6.9022,31.9029
128³,57.9849,5.7985,37.9756
128³,54.2548,5.4255,40.5865
128³,45.2334,4.5233,48.6810
128³,43.1310,4.3131,51.0539
128³,37.9340,3.7934,58.0485
128³,36.7620,3.6762,59.8990
128³,32.9425,3.2942,66.8441
128³,32.4613,3.2461,67.8349
128³,29.6815,2.9682,74.1879
128³,30.1010,3.0101,73.1541
128³,27.0504,2.7050,81.4039
128³,27.8426,2.7843,79.0879
128³,23.7094,2.3709,92.8751
128³,23.5194,2.3519,93.6253
128³,22.9176,2.2918,96.0838
128³,21.5738,2.1574,102.0686
128³,21.8928,2.1893,100.5816
128³,22.7059,2.2706,96.9795
128³,21.1078,2.1108,104.3222
128³,20.8814,2.0881,105.4531
128³,19.4241,1.9424,113.3648
128³,19.0059,1.9006,115.8590
128³,18.5711,1.8571,118.5716
128³,18.6436,1.8644,118.1106
128³,18.1158,1.8116,121.5518
128³,22.0584,2.2058,99.8262
128³,18.3055,1.8305,120.2925
128³,18.8121,1.8812,117.0528
128³,17.9311,1.7931,122.8040
128³,19.7289,1.9729,111.6137
128³,54.2886,5.4289,40.5612
128³,17.0088,1.7009,129.4628
128³,16.9537,1.6954,129.8837
128³,15.9111,1.5911,138.3941
