FFT,SizeTotal,Runtime(ms),AvgRuntime(ms),Throughput(GFLOPS)
fftw,32³,2009.654405,0.200965,12.228968
fftw,32³,1552.595469,0.155260,15.828978
fftw,32³,1163.527690,0.116353,21.121973
fftw,32³,931.979132,0.093198,26.369689
fftw,32³,891.359442,0.089136,27.571369
fftw,32³,761.947235,0.076195,32.254202
fftw,32³,713.901566,0.071390,34.424914
fftw,32³,627.569677,0.062757,39.160592
fftw,32³,661.965658,0.066197,37.125793
fftw,32³,802.711082,0.080271,30.616246
fftw,32³,619.270324,0.061927,39.685415
fftw,32³,666.750174,0.066675,36.859383
fftw,32³,672.157822,0.067216,36.562842
fftw,32³,648.561599,0.064856,37.893085
fftw,32³,637.124341,0.063712,38.573318
fftw,32³,674.419402,0.067442,36.440233
fftw,32³,706.604436,0.070660,34.780421
fftw,32³,654.009002,0.065401,37.577464
fftw,32³,699.505465,0.069951,35.133392
fftw,32³,760.909626,0.076091,32.298185
fftw,32³,662.637246,0.066264,37.088166
fftw,32³,738.593550,0.073859,33.274052
fftw,32³,685.388932,0.068539,35.857013
fftw,32³,698.488202,0.069849,35.184560
fftw,32³,669.588465,0.066959,36.703141
fftw,32³,702.518146,0.070252,34.982726
fftw,32³,729.713832,0.072971,33.678956
fftw,32³,704.338630,0.070434,34.892307
fftw,32³,686.388938,0.068639,35.804773
fftw,32³,716.516949,0.071652,34.299258
fftw,32³,729.987172,0.072999,33.666345
fftw,32³,653.883014,0.065388,37.584705
fftw,32³,773.085351,0.077309,31.789504
fftw,32³,800.632899,0.080063,30.695716
fftw,32³,793.518108,0.079352,30.970938
fftw,32³,801.106827,0.080111,30.677557
fftw,32³,910.311862,0.091031,26.997341
fftw,32³,811.517299,0.081152,30.284012
fftw,32³,771.046853,0.077105,31.873549
fftw,32³,822.703518,0.082270,29.872244
